,dataset,base,method,PM1,PM2,Time,TriesToOpt,x0_high,x0_low,x0_med,x0_vhigh,x1_high,x1_low,x1_med,x1_vhigh,x2_2,x2_3,x2_4,x2_5more,x3_2,x3_4,x3_more,x4_big,x4_med,x4_small,x5_high,x5_low,x5_med
0,car,001 knn,000 all,0.7939814814814815,0.7939814814814815,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,car,000 rf,000 all,0.9560185185185185,0.9560185185185185,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,car,001 knn,003 feature importance selection,0.7592592592592593,0.7592592592592593,0.17407941818237305,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
3,car,001 knn,011 feature importance weighting,0.8518518518518519,0.8518518518518519,0.17407941818237305,0,0.03580961925174262,0.048883254281830324,0.04288146554885656,0.046646601046320436,0.038396458839056145,0.03805452885521584,0.03171509112630455,0.05337659075479492,0.026964586130726765,0.017055479799152985,0.015543089793661646,0.014625961293728252,0.14006453081335313,0.04911705796076748,0.045042013192032195,0.03325286821762415,0.02334900095504688,0.045167359235366425,0.074537791366956,0.13143591741878247,0.048080734118680156
4,car,001 knn,004 l1,0.8541666666666666,0.8541666666666666,0.016216278076171875,0,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,False
5,car,001 knn,005 relieff selection,0.8194444444444444,0.8194444444444444,0.13199257850646973,0,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True
6,car,001 knn,012 relieff weighting,0.8379629629629629,0.8379629629629629,0.13199257850646973,0,0.8676599474145487,1.0,0.9193689745836985,0.8659070990359334,0.9272567922874672,0.9430324276950044,0.8694127957931639,0.9290096406660824,0.6380368098159509,0.9211218229623137,0.813321647677476,0.8369851007887817,0.9851007887817704,0.7361963190184049,0.694127957931639,0.6108676599474145,0.5661700262927257,0.684487291849255,0.9316389132340053,0.9439088518843121,0.8378615249780894
7,car,001 knn,006 forward selection,0.7291666666666666,0.7291666666666665,5.505985975265503,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,car,001 knn,007 backward selection,0.8564814814814815,0.8564814814814815,8.653908491134644,0,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,car,001 knn,008 stepwise selection,0.8032407407407407,0.8032407407407408,14.768403768539429,0,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True
10,car,001 knn,009 bayesian selection,0.8587962962962963,0.8587962962962963,41.49051284790039,130,True,True,True,False,True,True,True,False,True,False,False,False,True,True,True,False,False,True,False,True,False
11,car,001 knn,013 bayesian weighting,0.9097222222222222,0.9097222222222222,108.92340993881226,179,0.9337479668484362,0.11408281251190974,0.1124695070733212,0.6360897807619085,0.958282565551877,0.14690777981396247,0.4975852486065027,0.812912025044177,0.27100113607886905,0.20546999592612683,0.3852303231671777,0.17983831348477058,0.7001316198387211,0.2104185506755661,0.21776813044058496,0.7085606558169919,0.6351466446090114,0.21218772846859546,0.061297028343106394,0.7053471980996333,0.24386735284511687
