,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,1.0,1.0,0.0,0,True,True,True,True
1,iris,000 rf,000 all,0.9736842105263158,0.9736842105263158,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9473684210526315,0.9473684210526315,0.1393272876739502,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,0.9736842105263158,0.9736842105263158,0.1393272876739502,0,0.0909218736490018,0.0341339446252885,0.45468161071212454,0.4202625710135852
4,iris,001 knn,004 l1,0.9736842105263158,0.9736842105263158,0.0036995410919189453,0,False,False,True,True
5,iris,001 knn,005 relieff selection,0.9736842105263158,0.9736842105263158,0.011842012405395508,0,False,True,True,True
6,iris,001 knn,012 relieff weighting,0.9473684210526315,0.9473684210526315,0.011842012405395508,0,0.0,0.2773109243697479,0.0,0.5966386554621849
7,iris,001 knn,006 forward selection,0.5789473684210527,0.5789473684210527,1.3945746421813965,0,False,True,True,False
8,iris,001 knn,007 backward selection,0.5789473684210527,0.5789473684210527,1.0614018440246582,0,False,True,True,False
9,iris,001 knn,008 stepwise selection,0.5789473684210527,0.5789473684210527,1.2695252895355225,0,False,True,True,False
10,iris,001 knn,009 bayesian selection,0.9473684210526315,0.9473684210526315,28.087125778198242,0,False,True,False,True
11,iris,001 knn,013 bayesian weighting,0.9473684210526315,0.9473684210526315,70.93767666816711,0,0.618860873523069,0.18151565284123217,0.5260012066761164,0.05337008411800703
