,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.8265895953757225,0.8265895953757225,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.8786127167630058,0.8786127167630058,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.838150289017341,0.8381502890173411,0.15590858459472656,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8554913294797688,0.8554913294797687,0.15590858459472656,0,0.010729039673505606,0.07140347954811825,0.08352569236841577,0.014711842598105344,0.06844092474960538,0.0238543821275882,0.08700532888858299,0.277767118772555,0.06968380559171321,0.09569380600295903,0.011190503094935017,0.014095551235082649,0.0706213850967233,0.10127714025211039
4,australian,001 knn,004 l1,0.8554913294797688,0.8554913294797687,0.012060880661010742,0,False,False,False,True,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.8670520231213873,0.8670520231213873,0.044260501861572266,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8670520231213873,0.8670520231213873,0.044260501861572266,0,0.7857740585774059,0.0,0.02834366696191315,0.8794979079497908,0.5013286093888396,0.40418410041841,0.13108945969884855,1.0,0.8577405857740585,0.13138075313807532,0.797489539748954,0.9397489539748954,0.2054915854738707,0.39326837909654566
7,australian,001 knn,006 forward selection,0.8265895953757225,0.8265895953757225,3.520460367202759,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.8670520231213873,0.8670520231213873,3.3971524238586426,0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8265895953757225,0.8265895953757225,3.4982192516326904,0,False,True,True,True,False,False,False,True,False,True,False,False,True,False
10,australian,001 knn,009 bayesian selection,0.884393063583815,0.884393063583815,34.134772062301636,57,True,True,False,True,True,False,True,True,True,False,False,True,True,True
11,australian,001 knn,013 bayesian weighting,0.9017341040462428,0.9017341040462428,87.95459651947021,138,0.9622496944077421,0.029483880522568586,0.6165132066146276,0.9510254303540935,0.6044217441537186,0.4408985355812615,0.5764071916738913,0.8627743179649418,0.7685909223010531,0.38727734732289876,0.5271009719898376,0.4426931999992806,0.6297435769110885,0.7293294601817842
