,dataset,base,method,PM1,PM2,Time,TriesToOpt,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,wine,001 knn,000 all,0.9555555555555556,0.9555555555555556,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,wine,000 rf,000 all,0.9777777777777777,0.9777777777777777,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,wine,001 knn,003 feature importance selection,0.8666666666666667,0.8666666666666667,0.14130759239196777,0,False,True,False,True,False,True,False,True,False,True,False,True,False
3,wine,001 knn,011 feature importance weighting,0.9555555555555556,0.9555555555555556,0.14130759239196777,0,0.11161194659222987,0.0419353413758959,0.01471397953958887,0.027742653002873843,0.025347557084054156,0.07619979407733328,0.12961065231825525,0.011187099384819994,0.025230384631685095,0.1830886965490311,0.06463005620882682,0.1158897985792809,0.17281204065612502
4,wine,001 knn,004 l1,0.9555555555555556,0.9555555555555556,0.0038597583770751953,0,True,False,False,False,False,False,True,False,False,True,True,True,True
5,wine,001 knn,005 relieff selection,0.9111111111111111,0.9111111111111111,0.013775825500488281,0,True,False,True,True,True,False,True,True,True,True,False,True,False
6,wine,001 knn,012 relieff weighting,0.9333333333333333,0.9333333333333333,0.013775825500488281,0,0.0444444444444444,0.00987654320987652,0.029629629629629672,0.07407407407407407,0.09382716049382711,0.0,0.03950617283950619,0.14320987654320982,0.05432098765432103,0.029629629629629672,0.024691358024691357,0.03950617283950619,0.004938271604938316
7,wine,001 knn,006 forward selection,0.8444444444444444,0.8444444444444444,6.077882289886475,0,False,False,False,False,False,True,True,False,False,True,False,False,False
8,wine,001 knn,007 backward selection,0.9333333333333333,0.9333333333333333,2.97637939453125,0,True,True,False,True,True,True,True,True,True,True,True,True,True
9,wine,001 knn,008 stepwise selection,0.8666666666666667,0.8666666666666667,4.565808534622192,0,True,False,False,True,False,False,False,True,False,True,True,False,True
10,wine,001 knn,009 bayesian selection,1.0,1.0,32.97375512123108,170,False,True,False,True,True,False,True,False,False,False,False,True,True
11,wine,001 knn,013 bayesian weighting,1.0,1.0,84.90588593482971,25,0.5879718625906127,0.25887965654019285,0.874455030570972,0.5583786464022759,0.9533142136086283,0.8226263197856429,0.9296101069595861,0.866111987266956,0.6246374012151766,0.029512587375837562,0.003597895812981977,0.4365868414345302,0.13730019013961323
