,dataset,base,method,PM1,PM2,Time,TriesToOpt,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,wine,001 knn,000 all,0.9333333333333333,0.9333333333333333,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,wine,000 rf,000 all,0.9333333333333333,0.9333333333333333,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,wine,001 knn,003 feature importance selection,0.9111111111111111,0.9111111111111111,0.14182448387145996,0,False,True,False,True,False,True,False,True,False,True,False,True,False
3,wine,001 knn,011 feature importance weighting,0.9333333333333333,0.9333333333333333,0.14182448387145996,0,0.09661737602465387,0.03106969589437699,0.012082578453134549,0.027938338978998174,0.028965391807745093,0.06193088000411588,0.1488275888581473,0.011778772235398643,0.010797014138327399,0.17674892993293334,0.07774993346024933,0.13110253555951762,0.18439096465240185
4,wine,001 knn,004 l1,0.9333333333333333,0.9333333333333333,0.0040035247802734375,0,True,False,False,False,False,False,True,False,False,True,True,True,True
5,wine,001 knn,005 relieff selection,0.8888888888888888,0.8888888888888888,0.03544878959655762,0,False,False,True,True,True,True,False,True,True,False,True,True,True
6,wine,001 knn,012 relieff weighting,0.9333333333333333,0.9333333333333333,0.03544878959655762,0,0.0139211136890951,0.023201856148491906,0.04640371229698381,0.05568445475638051,0.05568445475638051,0.037122969837587005,0.018561484918793503,0.12529002320185612,0.051044083526682105,0.0,0.05568445475638051,0.023201856148491906,0.02784222737819031
7,wine,001 knn,006 forward selection,0.9333333333333333,0.9333333333333333,6.087465524673462,0,False,False,False,False,False,False,False,False,False,False,True,True,True
8,wine,001 knn,007 backward selection,0.9333333333333333,0.9333333333333333,2.9507250785827637,0,True,False,True,True,True,True,True,True,True,True,True,True,True
9,wine,001 knn,008 stepwise selection,0.9333333333333333,0.9333333333333333,3.056391954421997,0,False,False,False,False,False,False,True,False,True,True,True,False,True
10,wine,001 knn,009 bayesian selection,0.9555555555555556,0.9555555555555556,33.14565134048462,11,True,True,False,True,True,True,True,False,True,True,True,True,True
11,wine,001 knn,013 bayesian weighting,0.9777777777777777,0.9777777777777777,84.44787406921387,4,0.793628831744306,0.5309723465740042,0.08872169526325258,0.6495032745980985,0.6488370405201381,0.23922860637666843,0.5870005857069427,0.27217519328345885,0.18270416213680285,0.33545437905945064,0.3724885510880608,0.10293185724052412,0.2664654558502356
