,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.7857142857142857,0.7857142857142857,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.75,0.75,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.7142857142857143,0.7142857142857143,0.15856003761291504,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.7738095238095238,0.7738095238095238,0.15856003761291504,0,0.24163278734994764,0.16321571954463235,0.0038395760928377335,0.0,0.12246335244075005,0.2908500799557704,0.17799848461606188
4,ecoli,001 knn,004 l1,0.7738095238095238,0.7738095238095238,0.013580560684204102,0,True,True,False,False,True,True,True
5,ecoli,001 knn,005 relieff selection,0.7023809523809523,0.7023809523809523,0.04603695869445801,0,False,True,True,True,True,False,True
6,ecoli,001 knn,012 relieff weighting,0.6071428571428571,0.6071428571428571,0.04603695869445801,0,0.0,0.011650485436893177,1.0,0.9824253075571178,0.0737864077669903,0.003883495145631022,0.003883495145631022
7,ecoli,001 knn,006 forward selection,0.5476190476190477,0.5476190476190477,2.576531171798706,0,True,False,False,False,False,True,False
8,ecoli,001 knn,007 backward selection,0.5476190476190477,0.5476190476190477,2.150291919708252,0,True,False,False,True,True,True,True
9,ecoli,001 knn,008 stepwise selection,0.6071428571428571,0.6071428571428571,2.5307750701904297,0,True,True,True,False,True,True,False
10,ecoli,001 knn,009 bayesian selection,0.6666666666666666,0.6666666666666666,30.117843627929688,4,True,True,True,False,False,True,True
11,ecoli,001 knn,013 bayesian weighting,0.7380952380952381,0.7380952380952381,76.67349576950073,71,0.5262836001213367,0.3927560868710654,0.5521702958096981,0.2913473624581101,0.03918963589769962,0.40845705278544325,0.6748574825821179
