,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.8214285714285714,0.8214285714285714,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.8571428571428571,0.8571428571428571,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.8333333333333334,0.8333333333333334,0.14851021766662598,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.8452380952380952,0.8452380952380952,0.14851021766662598,0,0.23417352814314946,0.171718519165229,0.018676882072621654,0.0030294463691894033,0.12206451890637117,0.263645457791229,0.18669164755221032
4,ecoli,001 knn,004 l1,0.7738095238095238,0.7738095238095238,0.013387441635131836,0,True,True,False,False,False,True,True
5,ecoli,001 knn,005 relieff selection,0.8214285714285714,0.8214285714285714,0.04404401779174805,0,True,False,True,True,True,False,True
6,ecoli,001 knn,012 relieff weighting,0.8452380952380952,0.8452380952380952,0.04404401779174805,0,0.03508771929824561,0.023391812865497075,1.0,0.9859402460456942,0.06627680311890838,0.0,0.07797270955165692
7,ecoli,001 knn,006 forward selection,0.8333333333333334,0.8333333333333334,5.0696351528167725,0,True,True,False,False,True,False,True
8,ecoli,001 knn,007 backward selection,0.8452380952380952,0.8452380952380952,1.5628798007965088,0,True,True,False,True,True,True,True
9,ecoli,001 knn,008 stepwise selection,0.8452380952380952,0.8452380952380952,2.509465217590332,0,True,True,False,True,True,False,True
10,ecoli,001 knn,009 bayesian selection,0.8452380952380952,0.8452380952380952,29.781771659851074,19,True,True,True,False,True,False,True
11,ecoli,001 knn,013 bayesian weighting,0.8571428571428571,0.8571428571428571,75.84307193756104,8,0.7390343887331956,0.7118109157203351,0.33309358479994056,0.02311096572949256,0.9613383321501567,0.6787776274248829,0.802610405663925
