,dataset,base,method,PM1,PM2,Time,TriesToOpt,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
0,bike,001 knn,000 all,761148.1850924239,0.7970335065423994,0.0,0,True,True,True,True,True,True,True,True,True,True,True
1,bike,000 rf,000 all,366749.381195218,0.9022032275227727,0.0,0,True,True,True,True,True,True,True,True,True,True,True
2,bike,001 knn,002 intercorrelation,851917.8841749306,0.7728290114180487,0.021602392196655273,0,True,True,False,True,True,True,True,False,True,True,True
3,bike,001 knn,010 correlation weighting,444073.0361389394,0.8815842318887662,0.021602392196655273,0,0.3895513959777962,0.5436841264133424,0.26220496711472296,0.10584016420309278,0.09324194014175656,0.09074310193381,0.30321970844708324,0.6219705041111369,0.6232474471134696,0.1142168321739592,0.2431557373394419
4,bike,001 knn,003 feature importance selection,534310.4116533427,0.857521685270789,0.26239752769470215,0,False,True,True,False,True,False,True,False,True,False,True
5,bike,001 knn,011 feature importance weighting,619190.9098444984,0.8348875945402159,0.26239752769470215,0,0.0593008759504498,0.274109766360803,0.02864050875731798,0.003618296874427916,0.019526478274193935,0.003720532211127556,0.01644061485455267,0.34585518199660004,0.13319027048128956,0.0798214593679316,0.03577601487130602
6,bike,001 knn,004 l1,619190.9098444984,0.8348875945402159,0.007283210754394531,0,True,True,True,True,True,True,True,True,True,True,True
7,bike,001 knn,005 relieff selection,1715041.6233429466,0.5426698884114389,0.049315452575683594,0,True,False,True,False,True,False,True,True,True,True,True
8,bike,001 knn,012 relieff weighting,1062104.179817682,0.7167810877219924,0.049315452575683594,0,0.4895173086299366,0.11604095563139927,0.3453834880312653,0.0,0.010258915486077186,0.03510482691370065,0.1716235982447587,0.9912066438690766,1.0,0.9990229604298974,0.9960918417195896
9,bike,001 knn,006 forward selection,1124521.5793741147,0.7001369690512335,14.009248971939087,0,True,True,True,False,False,False,True,True,True,True,False
10,bike,001 knn,007 backward selection,1063598.6508635227,0.7163825745892162,4.446833610534668,0,True,True,False,False,True,False,True,True,True,True,True
11,bike,001 knn,008 stepwise selection,1063598.6508635227,0.7163825745892162,10.175565004348755,0,True,True,False,False,True,False,True,True,True,True,True
12,bike,001 knn,009 bayesian selection,586626.8287964648,0.8435710775628888,31.94919991493225,187,True,True,True,False,False,True,True,False,True,False,False
13,bike,001 knn,013 bayesian weighting,427785.0674121298,0.885927554204678,83.78414177894592,405,0.5030807024801358,0.9695153774390568,0.7221997974626827,0.14854273023848888,0.2396027480021206,0.14561953831004268,0.24078602728307616,0.03244204181610739,0.18111820180438237,0.9026044488179461,0.2236116781828058
