,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60
0,sonar,001 knn,000 all,0.7115384615384616,0.7115384615384616,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,sonar,000 rf,000 all,0.8076923076923077,0.8076923076923077,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,sonar,001 knn,003 feature importance selection,0.7307692307692307,0.7307692307692306,0.16411089897155762,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,sonar,001 knn,011 feature importance weighting,0.7692307692307693,0.7692307692307693,0.16411089897155762,0,0.008946957453229537,0.004336105948275691,0.01138854227576264,0.02854881529018684,0.018270703706063117,0.014397451722190808,0.012763304150466531,0.015570538978564117,0.05139819478743082,0.05164140120144354,0.05463076789086467,0.04535350124191393,0.027936330906307077,0.011169748684074825,0.013810529313535661,0.01535539927687362,0.014447740244724203,0.013619138653025569,0.011671066689028084,0.02278074075426007,0.025439207981570736,0.021021102502460906,0.009613787272636653,0.008236338371849443,0.010845141189263456,0.011392852272779263,0.009289937637799882,0.017895573839099423,0.009621640286154061,0.00874887679913855,0.017458627791315667,0.01487411454574696,0.004261994327282544,0.011269815787297912,0.015504049255351263,0.035422083486182344,0.015020025386108252,0.004093310362062409,0.00842370963491465,0.008220710681662857,0.008352459535801719,0.010492312265504922,0.018402329609843435,0.01272199493747451,0.009863058060217589,0.02358180649692181,0.029647818811493348,0.026241120104375553,0.02981375360664033,0.008131991588778266,0.019667201373495067,0.030842192748940025,0.009601650988814572,0.008885472246388094,0.007212334204900826,0.007722779805963895,0.005580870113080625,0.008328638360236746,0.005915308975309005,0.004305027586921208
4,sonar,001 knn,004 l1,0.7307692307692307,0.7307692307692306,0.00635528564453125,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,sonar,001 knn,005 relieff selection,0.7692307692307693,0.7692307692307693,0.024808645248413086,0,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True
6,sonar,001 knn,012 relieff weighting,0.7884615384615384,0.7884615384615384,0.024808645248413086,0,0.022471910112359605,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.0074906367041198685,0.014981273408239737,0.0074906367041198685,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.029962546816479363,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.022471910112359605,0.029962546816479363,0.0074906367041198685,0.0449438202247191,0.0898876404494382,0.03745318352059923,0.0449438202247191,0.022471910112359605,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.014981273408239737,0.0074906367041198685,0.014981273408239737,0.0074906367041198685,0.0,0.022471910112359605,0.029962546816479363,0.014981273408239737,0.029962546816479363,0.022471910112359605,0.022471910112359605,0.014981273408239737,0.029962546816479363,0.05243445692883897,0.014981273408239737
7,sonar,001 knn,006 forward selection,0.75,0.75,42.5461151599884,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,sonar,001 knn,007 backward selection,0.7884615384615384,0.7884615384615384,14.202857971191406,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,sonar,001 knn,008 stepwise selection,0.8076923076923077,0.8076923076923077,21.42170286178589,0,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False
10,sonar,001 knn,009 bayesian selection,0.8653846153846154,0.8653846153846154,58.77384042739868,159,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True
11,sonar,001 knn,013 bayesian weighting,0.9423076923076923,0.9423076923076923,157.9799976348877,422,0.057534269431948844,0.612019918872077,0.31126367901219776,0.8993833214925596,0.708310237694135,0.2178213981529067,0.5176284668213316,0.13527084709371423,0.07331421953080454,0.21635229319807842,0.4010999634012339,0.2989992126974404,0.18729579556490075,0.4393338156849499,0.9701403708868254,0.14287700701427222,0.34888614392943496,0.018489476521312925,0.14471630766784266,0.2951994385892579,0.6513725555613827,0.6617949070879965,0.2828564626605556,0.8753128705320281,0.054135767809857474,0.42335887731996036,0.5745886579624107,0.6525312214368174,0.4944250079433845,0.4422149860910084,0.8866444619423236,0.9845321851814871,0.3990488383726687,0.898854952536204,0.23958169534689253,0.8411962348006877,0.9747193836540864,0.08566643604422283,0.7652977413981521,0.5171770776265456,0.7842346520828123,0.8290248208574612,0.8109043903395493,0.955655005239539,0.6754280017161793,0.28940062603765726,0.6064959558262798,0.06950552076913896,0.6775143983423506,0.10155359573382107,0.5807729640196935,0.4153463450694553,0.29016282004774385,0.4483458289897241,0.261326397618458,0.055106284243004997,0.7540945586279836,0.8822282400614017,0.7521297447030374,0.3392365230812228
