,dataset,base,method,PM1,PM2,Time,TriesToOpt,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
0,machine,001 knn,000 all,19074.495660377357,0.5606698318675645,0.0,0,True,True,True,True,True,True
1,machine,000 rf,000 all,5186.1085999265715,0.8805518109770177,0.0,0,True,True,True,True,True,True
2,machine,001 knn,002 intercorrelation,19074.495660377357,0.5606698318675645,0.015741348266601562,0,True,True,True,True,True,True
3,machine,001 knn,010 correlation weighting,15574.603207547168,0.6412805262274337,0.015741348266601562,0,0.319145875640803,0.7586053057182335,0.8337607856782351,0.6385276445994086,0.624873767628483,0.5294608595090552
4,machine,001 knn,003 feature importance selection,16718.109056603775,0.614942916789611,0.15291118621826172,0,False,True,False,True,True,False
5,machine,001 knn,011 feature importance weighting,15612.581320754716,0.6404058016130638,0.15291118621826172,0,0.10382935057617895,0.18941260370095858,0.4096673688450605,0.14656606406513703,0.05452101218736682,0.09600360062529804
6,machine,001 knn,004 l1,15612.581320754716,0.6404058016130638,0.00902700424194336,0,True,True,True,True,True,True
7,machine,001 knn,005 relieff selection,19384.08358490566,0.5535392991732023,0.03912234306335449,0,True,True,False,True,False,True
8,machine,001 knn,012 relieff weighting,15680.122452830194,0.6388501716536195,0.03912234306335449,0,1.0,0.4410958904109589,0.34794520547945207,0.5397260273972603,0.0,0.8191780821917808
9,machine,001 knn,006 forward selection,14440.357547169813,0.667404851900284,2.787776470184326,0,False,False,True,True,False,False
10,machine,001 knn,007 backward selection,15319.972830188683,0.6471452583015249,2.0926177501678467,0,False,False,True,True,False,True
11,machine,001 knn,008 stepwise selection,15319.972830188683,0.6471452583015249,3.4686784744262695,0,False,False,True,True,False,True
12,machine,001 knn,009 bayesian selection,14108.645283018872,0.6750449597896762,29.366374969482422,34,True,False,True,True,False,False
13,machine,001 knn,013 bayesian weighting,12859.700754716981,0.703811068177367,73.95066094398499,301,0.6238821386145753,0.27764169828697366,0.6316353285045073,0.6778443541987698,0.2420622809216589,0.17131884078641968
