,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.7407407407407407,0.7407407407407407,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.8518518518518519,0.8518518518518519,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.6666666666666666,0.6666666666666666,0.15235471725463867,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.7777777777777778,0.7777777777777778,0.15235471725463867,0,0.1461503263143718,0.09584908842864343,0.15782314488915625,0.1498091136747429,0.08531301935285399,0.09809164719591497,0.11304482848688811,0.09768612157026867,0.056232710087159854
4,glass,001 knn,004 l1,0.6666666666666666,0.6666666666666666,0.006044864654541016,0,False,True,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.7592592592592593,0.7592592592592593,0.03420901298522949,0,True,True,True,False,False,True,True,True,False
6,glass,001 knn,012 relieff weighting,0.7407407407407407,0.7407407407407407,0.03420901298522949,0,0.6521739130434783,0.5652173913043479,1.0,0.0,0.26086956521739135,0.5660377358490566,0.4782608695652174,0.6086956521739131,0.26086956521739135
7,glass,001 knn,006 forward selection,0.5740740740740741,0.5740740740740741,3.2540056705474854,0,False,False,False,True,False,True,False,False,False
8,glass,001 knn,007 backward selection,0.7592592592592593,0.7592592592592593,2.0455312728881836,0,True,True,True,True,False,True,True,True,True
9,glass,001 knn,008 stepwise selection,0.7407407407407407,0.7407407407407407,6.369345426559448,0,True,False,True,False,False,True,True,True,False
10,glass,001 knn,009 bayesian selection,0.7962962962962963,0.7962962962962963,30.696234703063965,89,True,True,False,False,False,True,True,True,False
11,glass,001 knn,013 bayesian weighting,0.8888888888888888,0.8888888888888888,78.78695249557495,29,0.530015473983669,0.8868589507680326,0.2587354014703242,0.5679220279852724,0.9732795453033573,0.5670120518492596,0.6988002953295295,0.5313045793561733,0.0766832807199391
