,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.9047619047619048,0.9047619047619048,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.8928571428571429,0.8928571428571429,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.8690476190476191,0.8690476190476191,0.15578413009643555,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.9047619047619048,0.9047619047619048,0.15578413009643555,0,0.21057779777581728,0.1746363395924552,0.022570718638039833,0.0017682098955290773,0.11962335769232303,0.25535291431210827,0.21547066209372728
4,ecoli,001 knn,004 l1,0.8214285714285714,0.8214285714285714,0.013425588607788086,0,True,True,True,False,False,True,True
5,ecoli,001 knn,005 relieff selection,0.8333333333333334,0.8333333333333334,0.04328155517578125,0,False,True,True,True,True,True,False
6,ecoli,001 knn,012 relieff weighting,0.8452380952380952,0.8452380952380952,0.04328155517578125,0,0.0,0.09592326139088725,0.9787685774946921,1.0,0.0767386091127098,0.023980815347721784,0.01918465227817745
7,ecoli,001 knn,006 forward selection,0.7619047619047619,0.7619047619047619,3.363762378692627,0,True,True,False,False,False,True,False
8,ecoli,001 knn,007 backward selection,0.75,0.75,1.5892863273620605,0,True,False,True,True,True,True,True
9,ecoli,001 knn,008 stepwise selection,0.75,0.75,2.545429229736328,0,True,False,True,False,True,True,True
10,ecoli,001 knn,009 bayesian selection,0.8452380952380952,0.8452380952380952,29.94097900390625,39,True,True,True,True,True,True,True
11,ecoli,001 knn,013 bayesian weighting,0.8690476190476191,0.8690476190476191,75.96943044662476,52,0.35578691847054356,0.8412027662265642,0.41244186041906505,0.216952486717676,0.9399248675280778,0.5739322767060453,0.8650454349802523
