,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.8670520231213873,0.8670520231213873,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.8728323699421965,0.8728323699421965,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.8670520231213873,0.8670520231213873,0.14405393600463867,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8497109826589595,0.8497109826589595,0.14405393600463867,0,0.009419578190072076,0.06370672632750145,0.07991511086499235,0.01342928630275204,0.09792498080681251,0.032913115692198305,0.09509627288226404,0.2650128623386401,0.067651797219627,0.09044006558233658,0.013701031252867653,0.015481046391363858,0.07489074809856335,0.08041737805000869
4,australian,001 knn,004 l1,0.8323699421965318,0.8323699421965318,0.011883974075317383,0,False,False,False,False,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.8670520231213873,0.8670520231213873,0.05696535110473633,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.884393063583815,0.884393063583815,0.05696535110473633,0,0.8507963118189439,0.0,0.046272493573264795,0.9195305951383068,0.5261353898886032,0.34450963956412406,0.13710368466152523,1.0,0.8792958927074602,0.13327745180217937,0.7904442581726739,0.9966471081307627,0.17652099400171384,0.3479005998286204
7,australian,001 knn,006 forward selection,0.8439306358381503,0.8439306358381503,5.235105037689209,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False
8,australian,001 knn,007 backward selection,0.8670520231213873,0.8670520231213873,3.408454418182373,0,True,True,True,True,True,True,True,True,True,True,True,False,True,True
9,australian,001 knn,008 stepwise selection,0.8439306358381503,0.8439306358381503,3.5117204189300537,0,False,False,True,False,False,False,True,True,False,False,True,False,True,True
10,australian,001 knn,009 bayesian selection,0.9017341040462428,0.9017341040462428,34.11745357513428,8,False,False,True,False,True,False,False,True,True,True,False,True,True,False
11,australian,001 knn,013 bayesian weighting,0.9190751445086706,0.9190751445086706,88.8357322216034,360,0.17584967703937066,0.6149070590984019,0.25461131730506753,0.3897068298447986,0.11378238679994764,0.46138307043375804,0.22581600542884628,0.39564273333891664,0.5566420647298742,0.20325138963157585,0.057464631139753024,0.5262167780830602,0.6754615157825806,0.9988249663120133
