,dataset,base,method,PM1,PM2,Time,TriesToOpt,x0_high,x0_low,x0_med,x0_vhigh,x1_high,x1_low,x1_med,x1_vhigh,x2_2,x2_3,x2_4,x2_5more,x3_2,x3_4,x3_more,x4_big,x4_med,x4_small,x5_high,x5_low,x5_med
0,car,001 knn,000 all,0.7731481481481481,0.7731481481481481,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,car,000 rf,000 all,0.9722222222222222,0.9722222222222222,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,car,001 knn,003 feature importance selection,0.7407407407407407,0.7407407407407407,0.17192912101745605,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
3,car,001 knn,011 feature importance weighting,0.8472222222222222,0.8472222222222222,0.17192912101745605,0,0.03990708441288221,0.04672360870305924,0.03895670704594727,0.042233839373211984,0.03541411649512298,0.04038673187059103,0.032246876667943104,0.05635501063085363,0.029686271737761928,0.01656673513275079,0.016066798908381533,0.018149540214769933,0.13725665007451623,0.05167590508168116,0.037976309894735216,0.03235529809647689,0.02135346460818239,0.04490163689768406,0.07311660986959789,0.14011463032646782,0.0485561739573828
4,car,001 knn,004 l1,0.8634259259259259,0.8634259259259259,0.04349088668823242,0,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False
5,car,001 knn,005 relieff selection,0.7962962962962963,0.7962962962962963,0.12011528015136719,0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True
6,car,001 knn,012 relieff weighting,0.8379629629629629,0.8379629629629629,0.12011528015136719,0,0.8656716417910447,0.9297629499561019,0.8621597892888498,1.0,0.9622475856014048,0.9561018437225637,0.9192273924495171,0.9025460930640913,0.8604038630377524,0.7901668129938543,0.974539069359087,0.6654960491659351,0.9657594381035997,0.7225636523266022,0.7199297629499561,0.6382791922739245,0.5803336259877085,0.7085162423178226,0.8946444249341527,0.9490781387181738,0.8577699736611062
7,car,001 knn,006 forward selection,0.7222222222222222,0.7222222222222222,5.596486568450928,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,car,001 knn,007 backward selection,0.8333333333333334,0.8333333333333334,8.741554975509644,0,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,car,001 knn,008 stepwise selection,0.7893518518518519,0.7893518518518517,9.059102773666382,0,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False
10,car,001 knn,009 bayesian selection,0.8703703703703703,0.8703703703703703,41.807268381118774,164,True,False,True,True,False,False,False,True,True,True,False,False,True,False,True,True,False,True,True,False,True
11,car,001 knn,013 bayesian weighting,0.8865740740740741,0.8865740740740741,109.96007180213928,179,0.6665264875705377,0.9003726809272854,0.47408793448403364,0.9955654767437605,0.8465675964216961,0.6626252330291659,0.8472126720895687,0.47924567462296,0.4077844108096708,0.35121828172947,0.5661493691468527,0.39945224963461096,0.5057229899285025,0.8614501648586667,0.11730762142165399,0.1537519448285023,0.9974710733290798,0.9431675418081272,0.5761745103404048,0.39802287963195887,0.5793223269389602
