,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.8809523809523809,0.8809523809523809,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.8809523809523809,0.8809523809523809,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.8809523809523809,0.8809523809523809,0.15896177291870117,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.8809523809523809,0.8809523809523809,0.15896177291870117,0,0.21032927107757218,0.18533344289441364,0.02260620101874305,0.002918800005084215,0.1335119526807453,0.25173911192752024,0.19356122039592144
4,ecoli,001 knn,004 l1,0.8928571428571429,0.8928571428571429,0.013586044311523438,0,True,True,False,False,True,True,True
5,ecoli,001 knn,005 relieff selection,0.7738095238095238,0.7738095238095238,0.04279518127441406,0,False,True,True,True,True,False,True
6,ecoli,001 knn,012 relieff weighting,0.7976190476190477,0.7976190476190477,0.04279518127441406,0,0.0,0.07538802660753885,0.9790356394129979,1.0,0.11973392461197341,0.05764966740576494,0.07538802660753885
7,ecoli,001 knn,006 forward selection,0.7857142857142857,0.7857142857142857,5.8903326988220215,0,True,True,False,False,True,True,True
8,ecoli,001 knn,007 backward selection,0.7857142857142857,0.7857142857142857,1.562279224395752,0,True,True,False,True,True,True,True
9,ecoli,001 knn,008 stepwise selection,0.7976190476190477,0.7976190476190477,3.3773813247680664,0,True,True,True,False,True,True,True
10,ecoli,001 knn,009 bayesian selection,0.8214285714285714,0.8214285714285714,29.893916606903076,98,False,True,True,True,True,True,False
11,ecoli,001 knn,013 bayesian weighting,0.8333333333333334,0.8333333333333334,75.90708827972412,126,0.44297083406689103,0.841270635720663,0.07807888790746488,0.5653898741010269,0.7600474753206301,0.1858644486138351,0.6990981636115599
