,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.7037037037037037,0.7037037037037037,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.8518518518518519,0.8518518518518519,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.5925925925925926,0.5925925925925926,0.1548614501953125,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.7037037037037037,0.7037037037037037,0.1548614501953125,0,0.15142500688754093,0.10524012372344904,0.15429883249706833,0.16732637074648005,0.09569399988441649,0.09337081467836972,0.10289374558617868,0.07823996982571498,0.05151113617078182
4,glass,001 knn,004 l1,0.6851851851851852,0.6851851851851852,0.0041310787200927734,0,False,False,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.7222222222222222,0.7222222222222222,0.023265838623046875,0,True,False,True,False,True,True,False,True,True
6,glass,001 knn,012 relieff weighting,0.5555555555555556,0.5555555555555556,0.023265838623046875,0,0.09090909090909094,0.036363636363636376,0.5,0.0,0.10909090909090913,0.5636363636363637,0.0,0.9818181818181818,1.0
7,glass,001 knn,006 forward selection,0.6851851851851852,0.6851851851851852,4.27283501625061,0,True,False,True,True,False,False,False,False,False
8,glass,001 knn,007 backward selection,0.48148148148148145,0.48148148148148145,3.5235354900360107,0,False,False,False,True,True,True,True,True,True
9,glass,001 knn,008 stepwise selection,0.6851851851851852,0.6851851851851852,2.103203773498535,0,True,False,True,True,False,False,False,False,False
10,glass,001 knn,009 bayesian selection,0.7222222222222222,0.7222222222222222,30.22418475151062,104,True,False,False,True,False,False,False,True,False
11,glass,001 knn,013 bayesian weighting,0.8333333333333334,0.8333333333333334,78.13286828994751,189,0.8328579643771078,0.7832046355150829,0.0925673748060181,0.8058983164596271,0.8639730332264886,0.014161587242062516,0.9320834959946112,0.279045297876698,0.027502577469205834
