,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
0,ionosphere,001 knn,000 all,0.8068181818181818,0.8068181818181818,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,ionosphere,000 rf,000 all,0.9204545454545454,0.9204545454545455,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,ionosphere,001 knn,003 feature importance selection,0.6818181818181818,0.6818181818181818,0.16630268096923828,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,ionosphere,001 knn,011 feature importance weighting,0.7954545454545454,0.7954545454545455,0.16630268096923828,0,0.020415650559295517,0.0,0.07186411205680568,0.024635317098022823,0.11703908143619862,0.04372329060558533,0.12607320180896392,0.03597563400028548,0.019544979243557595,0.021753212185593007,0.010100385738954392,0.019243183662713378,0.0231892910334013,0.03239110416497328,0.01004416193486966,0.02942343067007367,0.0099918560661696,0.013374596583604723,0.008606412944582021,0.017678159314047034,0.016370002763943785,0.010254276113682494,0.014617874346242616,0.02096214723047625,0.011284058420090969,0.011619062042214872,0.10404422579447288,0.035226671963903194,0.031175504966440344,0.007886544539065302,0.020837238481140608,0.009367355485137886,0.03153340163919471,0.01975457510629698
4,ionosphere,001 knn,004 l1,0.8068181818181818,0.8068181818181818,0.011766195297241211,0,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,ionosphere,001 knn,005 relieff selection,0.7954545454545454,0.7954545454545455,0.04570198059082031,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True
6,ionosphere,001 knn,012 relieff weighting,0.8409090909090909,0.8409090909090909,0.04570198059082031,0,1.0,0.9817905918057663,0.10981697171381033,0.03660565723793674,0.07986688851913482,0.05990016638935103,0.09983361064891849,0.03660565723793674,0.09983361064891849,0.0765391014975042,0.03660565723793674,0.07986688851913482,0.03993344425956735,0.04991680532445919,0.0765391014975042,0.09650582362728788,0.029950083194675514,0.0033277870216306127,0.019966722129783676,0.03993344425956735,0.02329450915141429,0.0532445923460898,0.0266222961730449,0.07321131447587359,0.009983361064891838,0.019966722129783676,0.12312811980033278,0.029950083194675514,0.06322795341098175,0.06322795341098175,0.0,0.056572379367720416,0.06322795341098175,0.10981697171381033
7,ionosphere,001 knn,006 forward selection,0.8636363636363636,0.8636363636363636,24.525052309036255,0,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,ionosphere,001 knn,007 backward selection,0.7613636363636364,0.7613636363636364,12.02154803276062,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,ionosphere,001 knn,008 stepwise selection,0.7613636363636364,0.7613636363636364,16.361159563064575,0,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,True
10,ionosphere,001 knn,009 bayesian selection,0.875,0.875,44.812169551849365,10,True,True,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False
11,ionosphere,001 knn,013 bayesian weighting,0.875,0.875,117.73240399360657,11,0.26525211707828267,0.7481533526048199,0.8690399856865949,0.283955150779699,0.8794437531075814,0.8770753793742441,0.050114779235887114,0.9879323774798723,0.5458735229375253,0.14032126481761562,0.1365870086057443,0.6947711832913226,0.6846632514804415,0.8869494848169257,0.017394208054628157,0.2620634789674352,0.23109598516822727,0.3263786463825298,0.686846804036811,0.11463802457251723,0.8000584209136321,0.8561512403619891,0.4067626940394331,0.6674457544234631,0.9102342488522421,0.2004510373081837,0.27718254929937414,0.5100612287947459,0.27800996141160317,0.2692072809815337,0.41145374346034924,0.6767453538991516,0.8020472761971262,0.404913157438309
