,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.6481481481481481,0.6481481481481481,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.7592592592592593,0.7592592592592593,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.5925925925925926,0.5925925925925926,0.15328216552734375,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.6666666666666666,0.6666666666666666,0.15328216552734375,0,0.14048020625338317,0.0969591705577635,0.1521195885333355,0.16275548485061306,0.07530400058787354,0.09553954854887664,0.1384586956679202,0.10314181466994472,0.03524149033028972
4,glass,001 knn,004 l1,0.6851851851851852,0.6851851851851852,0.003996610641479492,0,False,False,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.5555555555555556,0.5555555555555556,0.013303279876708984,0,True,False,True,False,False,True,True,True,True
6,glass,001 knn,012 relieff weighting,0.7037037037037037,0.7037037037037037,0.013303279876708984,0,0.23636363636363633,0.07272727272727275,1.0,0.0,0.036363636363636376,0.7636363636363637,0.10909090909090913,0.0,0.38461538461538464
7,glass,001 knn,006 forward selection,0.5740740740740741,0.5740740740740741,4.261934280395508,0,False,False,True,True,False,True,False,False,False
8,glass,001 knn,007 backward selection,0.7037037037037037,0.7037037037037037,3.5512588024139404,0,True,False,True,False,True,True,True,True,False
9,glass,001 knn,008 stepwise selection,0.5185185185185185,0.5185185185185185,2.148122549057007,0,False,False,True,True,False,False,False,True,False
10,glass,001 knn,009 bayesian selection,0.7037037037037037,0.7037037037037037,30.56650996208191,6,True,False,True,True,True,True,True,True,False
11,glass,001 knn,013 bayesian weighting,0.7777777777777778,0.7777777777777778,78.43724966049194,386,0.6000337240875442,0.1446484777016448,0.3624396962669253,0.17532492539795216,0.8582194267005753,0.9698504038103324,0.18075893613290997,0.048207237216241206,0.5917420071686763
