,dataset,base,method,PM1,PM2,Time,TriesToOpt,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
0,student,001 knn,000 all,22.648619155544367,-0.021721054697092734,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,student,000 rf,000 all,19.537034954577017,0.11864825743436735,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,student,001 knn,002 intercorrelation,22.648619155544367,-0.021721054697092734,0.04180622100830078,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,student,001 knn,010 correlation weighting,23.486191555443632,-0.05950549311839759,0.04180622100830078,0,0.08763066775489568,0.10811363235367581,0.12370589462352964,0.12188599572268607,0.08453971137021621,0.04754392423146005,0.2079583058664512,0.12381796852329223,0.057199386754079526,0.08608080081952273,0.04233171389183415,0.018063971385872273,0.12673585797647,0.14356581590715625,0.4576130997709402,0.09446231994653936,0.00830595140152747,0.18091359019057598,0.0029091502954500573,0.02148224957612359,0.17941713170110762,,0.15860280724746678,0.07867476895616975,0.0010387587511301608,0.1058839717422876,0.04418018297909041,0.07527400013613086,0.07196359454923762,0.01958145809542923
4,student,001 knn,003 feature importance selection,23.448137888581105,-0.05778882189995116,0.20615005493164062,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False
5,student,001 knn,011 feature importance weighting,23.67956574050757,-0.06822895987625288,0.20615005493164062,0,0.007293547579585744,0.027177684197889143,0.039177977869223855,0.00807876252695114,0.015798604217475507,0.007627204056528992,0.030929122155534693,0.02986849827237195,0.011015587065090393,0.01157967167011581,0.012283317579909872,0.006565219054390694,0.03652668236540452,0.04208531484952176,0.20785366262933572,0.02643785038415323,0.010219761857220145,0.011827735173140059,0.01623373939430452,0.006547585853738239,0.00640917782119048,0.0,0.02062579000262518,0.029597319542420016,0.041259102257889445,0.0388096429439186,0.01132839005258107,0.04002068456999988,0.04305621078534573,0.20376615327214373
6,student,001 knn,004 l1,23.969305240773394,-0.08129964404317414,0.017157554626464844,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,student,001 knn,005 relieff selection,23.57332326030387,-0.06343616530534035,0.0431215763092041,0,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True
8,student,001 knn,012 relieff weighting,22.71277875710008,-0.02461541286172264,0.0431215763092041,0,0.13571428571428568,0.4928571428571429,0.36271186440677966,0.3547619047619047,0.44999999999999996,0.1880952380952381,0.03728813559322034,0.376271186440678,0.12857142857142856,0.07857142857142863,0.37142857142857144,0.44285714285714284,0.7857142857142857,0.08813559322033898,0.44999999999999996,0.1523809523809524,0.4571428571428572,0.5285714285714286,0.5547619047619048,0.3023809523809524,0.01904761904761909,0.0,0.4904761904761905,0.28135593220338984,0.3288135593220339,0.39661016949152544,0.6428571428571428,0.2983050847457627,0.39322033898305087,1.0
9,student,001 knn,006 forward selection,23.860936232127365,-0.07641091784534804,13.909538984298706,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10,student,001 knn,007 backward selection,23.665911189456892,-0.06761297785081011,13.284409523010254,0,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
11,student,001 knn,008 stepwise selection,21.712163183077315,0.02052420437567548,24.38894248008728,0,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,True
12,student,001 knn,009 bayesian selection,17.74227034891855,0.19961340472359979,42.799339056015015,180,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True
13,student,001 knn,013 bayesian weighting,17.218724642547357,0.22323151881797554,111.20505142211914,499,0.9679272604225186,0.6249507389853407,0.16692895144744233,0.7808675285510795,0.3330413107036865,0.7741472800489333,0.3372323272675447,0.6375906716497943,0.27871028241628004,0.779182813463827,0.05207548696540266,0.6080402735857352,0.08659952907275513,0.0721415431419809,0.00038848512439387155,0.09774326322863372,0.8707609524844525,0.24055993270416298,0.8246224959522217,0.7509458280200358,0.4053413510394366,0.9247428664388896,0.31833306550997986,0.6507164670141428,0.9538691810701968,0.7767168921245967,0.26457971309958983,0.9686516689125059,0.7707581054681772,0.9465239271026127
