,dataset,base,method,PM1,PM2,Time,TriesToOpt,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
0,machine,001 knn,000 all,1459.0467924528307,0.798284715821238,0.0,0,True,True,True,True,True,True
1,machine,000 rf,000 all,2302.1072878420487,0.6817304090731755,0.0,0,True,True,True,True,True,True
2,machine,001 knn,002 intercorrelation,2552.565471698114,0.6471042106587362,0.014585733413696289,0,True,False,True,True,True,True
3,machine,001 knn,010 correlation weighting,1652.5539622641509,0.7715320757064554,0.014585733413696289,0,0.3191741537335276,0.8099005443009067,0.8972010970390532,0.6457143190401085,0.6500903760864033,0.6840178646811951
4,machine,001 knn,003 feature importance selection,1814.7483018867922,0.7491084786851656,0.15340495109558105,0,False,True,False,True,True,False
5,machine,001 knn,011 feature importance weighting,3134.3635849056614,0.5666697980357962,0.15340495109558105,0,0.00836427740250067,0.08052142311247458,0.736322317316721,0.07088871882950483,0.03365908339161998,0.07024417994717888
6,machine,001 knn,004 l1,3134.3635849056614,0.5666697980357962,0.004795551300048828,0,True,True,True,True,True,True
7,machine,001 knn,005 relieff selection,2973.592452830188,0.5888966345992945,0.020776748657226562,0,True,True,False,True,False,True
8,machine,001 knn,012 relieff weighting,4003.258113207547,0.4465438996722916,0.020776748657226562,0,1.0,0.3146417445482866,0.021806853582554516,0.4454828660436137,0.0,0.8629283489096573
9,machine,001 knn,006 forward selection,2860.594716981132,0.6045187315164404,3.493077039718628,0,False,False,True,True,True,False
10,machine,001 knn,007 backward selection,1703.3728301886792,0.7645062952873051,1.7496473789215088,0,True,False,True,True,True,False
11,machine,001 knn,008 stepwise selection,1703.3728301886792,0.7645062952873051,4.138178110122681,0,True,False,True,True,True,False
12,machine,001 knn,009 bayesian selection,1703.3728301886792,0.7645062952873051,29.455500841140747,4,True,False,True,True,False,False
13,machine,001 knn,013 bayesian weighting,891.447358490566,0.8767561409418303,73.44821643829346,431,0.21454796893705458,0.18695369666030412,0.7632642059889541,0.9483588030759506,0.2097197704189858,0.12187017663332478
