,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
0,ionosphere,001 knn,000 all,0.8636363636363636,0.8636363636363636,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,ionosphere,000 rf,000 all,0.9431818181818182,0.9431818181818182,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,ionosphere,001 knn,003 feature importance selection,0.6931818181818182,0.6931818181818182,0.16607022285461426,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,ionosphere,001 knn,011 feature importance weighting,0.8522727272727273,0.8522727272727273,0.16607022285461426,0,0.014423341500647191,0.0,0.09304092162673736,0.03718325287749513,0.13977856139977168,0.04034193659924811,0.0778608391856667,0.05511110614503827,0.012916375736883045,0.019996749176202398,0.010391822346551583,0.015859005520688488,0.009347011067981461,0.027932500702422865,0.0068528420467949295,0.030492393647275316,0.01164843949496478,0.036344268330599436,0.009146339318895361,0.02296430192635833,0.013850886030119063,0.034850694845444785,0.013401627771111708,0.021259581678423827,0.015482574703418092,0.017799923062372578,0.10008133082596214,0.018051497501693502,0.017588791474025266,0.008379169101889995,0.023060398937866943,0.015682872549396865,0.0175124751199151,0.011366167748137482
4,ionosphere,001 knn,004 l1,0.875,0.875,0.003838777542114258,0,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,ionosphere,001 knn,005 relieff selection,0.8636363636363636,0.8636363636363636,0.022428274154663086,0,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,True,False,False,True,True,True,True
6,ionosphere,001 knn,012 relieff weighting,0.9090909090909091,0.9090909090909091,0.022428274154663086,0,1.0,0.9769357495881383,0.07204116638078906,0.010291595197255532,0.12349914236706694,0.1132075471698113,0.10977701543739282,0.08576329331046317,0.05831903945111494,0.04116638078902235,0.030874785591766707,0.07204116638078906,0.08919382504288165,0.10291595197255576,0.12006861063464835,0.061749571183533414,0.07547169811320753,0.037735849056603765,0.0,0.03430531732418529,0.044596912521440824,0.07547169811320753,0.08576329331046317,0.09262435677530012,0.027444253859348233,0.030874785591766707,0.10291595197255576,0.04116638078902235,0.0,0.020583190394511175,0.10634648370497424,0.08919382504288165,0.08233276157804459,0.130360205831904
7,ionosphere,001 knn,006 forward selection,0.8068181818181818,0.8068181818181818,8.146621465682983,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
8,ionosphere,001 knn,007 backward selection,0.875,0.875,19.300928831100464,0,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True
9,ionosphere,001 knn,008 stepwise selection,0.9090909090909091,0.9090909090909091,12.327380418777466,0,False,True,True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False
10,ionosphere,001 knn,009 bayesian selection,0.9431818181818182,0.9431818181818182,44.34275531768799,117,False,True,False,False,True,False,True,True,True,False,True,False,False,False,False,True,True,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True,True
11,ionosphere,001 knn,013 bayesian weighting,0.9545454545454546,0.9545454545454546,116.93388938903809,94,0.057589616296506385,0.04075519220160134,0.48912387446930716,0.4092587647102378,0.9129062328986913,0.055968376480522386,0.7738699558122343,0.9561237166286003,0.26503272521367816,0.8195531847773937,0.8382756183053222,0.3985987545547876,0.22877083528737385,0.7245965773677572,0.40043047717306934,0.45754279645054885,0.6392072722208484,0.10918833876307485,0.6883231254656057,0.3298588865570801,0.43158011643091715,0.12462200682973831,0.4984589779259341,0.09517280337781349,0.5847279251788775,0.16372001166507572,0.7635542830891566,0.741644584118848,0.7738461541088246,0.1704274227657597,0.23566308768403074,0.6440239447802746,0.36660534838141196,0.5601739546204797
