,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60
0,sonar,001 knn,000 all,0.6923076923076923,0.6923076923076923,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,sonar,000 rf,000 all,0.7884615384615384,0.7884615384615384,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,sonar,001 knn,003 feature importance selection,0.6923076923076923,0.6923076923076923,0.16270160675048828,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,sonar,001 knn,011 feature importance weighting,0.7884615384615384,0.7884615384615384,0.16270160675048828,0,0.00889749104732221,0.008575879950617616,0.011982911473887251,0.023817619208101364,0.01065241609312158,0.017571777695917588,0.012876037088898422,0.01842752430522474,0.06978891906256426,0.04139344316779802,0.07408511622245004,0.03990195457174699,0.040618084038707515,0.013968012376206507,0.011656207519217547,0.0248820337683085,0.020212933090410737,0.01400393163548467,0.012693940746762103,0.01034796662293802,0.011959327610708143,0.008944555592877225,0.015473988758939633,0.007500124727028651,0.006345193810246121,0.009723464984027893,0.014914113807623358,0.017011461569044033,0.008881282701284082,0.010566321087237167,0.005325906181922492,0.011526055945358674,0.006672575432466497,0.01417320694604821,0.013838188732266925,0.03371960135139799,0.02857276967241151,0.011701890126569137,0.008288219929433951,0.004628358491388853,0.006300534189542148,0.0073090327385731966,0.012381008656326332,0.012064196332686492,0.023567905493999567,0.012397764959423633,0.02774307313841704,0.03755609847753535,0.02154992575251643,0.0061457813052207405,0.0183775245808815,0.01824647072385068,0.008129493020352383,0.007105460915316621,0.008805534169492183,0.006240942685867968,0.008061601405861386,0.010831786731614862,0.009668643337062499,0.0013964142414925422
4,sonar,001 knn,004 l1,0.75,0.75,0.013664484024047852,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5,sonar,001 knn,005 relieff selection,0.8076923076923077,0.8076923076923077,0.015256404876708984,0,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,False,True,False,True,True,True
6,sonar,001 knn,012 relieff weighting,0.8461538461538461,0.8461538461538461,0.015256404876708984,0,0.01384083044982698,0.02768166089965396,0.00692041522491349,0.03460207612456745,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.0,0.01384083044982698,0.01384083044982698,0.00692041522491349,0.02768166089965396,0.00692041522491349,0.01384083044982698,0.01384083044982698,0.03460207612456745,0.00692041522491349,0.04152249134948094,0.01384083044982698,0.02768166089965396,0.04152249134948094,0.02768166089965396,0.08996539792387548,0.05536332179930792,0.02768166089965396,0.01384083044982698,0.02076124567474047,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.00692041522491349,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.01384083044982698,0.02076124567474047,0.04152249134948094,0.01384083044982698,0.03460207612456745,0.00692041522491349,0.01384083044982698,0.00692041522491349,0.01384083044982698,0.02768166089965396,0.03460207612456745
7,sonar,001 knn,006 forward selection,0.5961538461538461,0.5961538461538461,21.25622582435608,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,sonar,001 knn,007 backward selection,0.8461538461538461,0.8461538461538461,14.240569591522217,0,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,sonar,001 knn,008 stepwise selection,0.7884615384615384,0.7884615384615384,21.330475330352783,0,False,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True
