,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.8786127167630058,0.8786127167630058,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.9017341040462428,0.9017341040462428,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.8728323699421965,0.8728323699421965,0.1502549648284912,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8901734104046243,0.8901734104046243,0.1502549648284912,0,0.00994022957342709,0.07858004311295703,0.08066573882618223,0.01849117612416227,0.08022324004441837,0.03139109006773303,0.09752798675984402,0.25207109232132485,0.050852556724990186,0.11295563357869969,0.012001557169908238,0.012423441909615017,0.0809508118984948,0.08192540188824322
4,australian,001 knn,004 l1,0.8901734104046243,0.8901734104046243,0.004141330718994141,0,False,False,False,False,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.884393063583815,0.884393063583815,0.055815696716308594,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8901734104046243,0.8901734104046243,0.055815696716308594,0,0.7867338371116709,0.0,0.0178094390026714,0.9076406381192276,0.5520926090828139,0.345088161209068,0.12288512911843275,1.0,0.8387909319899244,0.022670025188916875,0.7968094038623006,0.9429051217464316,0.28317008014247547,0.3223508459483526
7,australian,001 knn,006 forward selection,0.8959537572254336,0.8959537572254335,5.173555135726929,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False
8,australian,001 knn,007 backward selection,0.8901734104046243,0.8901734104046243,3.319697618484497,0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8786127167630058,0.8786127167630058,3.467919111251831,0,False,False,False,True,False,True,False,True,True,False,True,True,True,True
10,australian,001 knn,009 bayesian selection,0.9017341040462428,0.9017341040462428,34.340020418167114,39,True,False,False,True,True,True,True,True,False,True,True,True,False,False
11,australian,001 knn,013 bayesian weighting,0.9248554913294798,0.9248554913294798,88.54061770439148,96,0.4844557006275031,0.22298014731514737,0.5453655000702043,0.17489051951272766,0.8051595864273788,0.9753242389037091,0.8555847996879462,0.4646198664423344,0.33432139746141787,0.7905543167479978,0.528573544021159,0.20042136516775108,0.9936892667203141,0.21134246843384852
