,dataset,base,method,PM1,PM2,Time,TriesToOpt,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0,boston,001 knn,000 all,17.109205165354332,0.739270338776902,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,boston,000 rf,000 all,7.210363435911968,0.8901202248864489,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,boston,001 knn,002 intercorrelation,17.361746393700788,0.7354218263372375,0.022867918014526367,0,True,True,True,True,True,True,True,True,False,True,True,True,True
3,boston,001 knn,010 correlation weighting,12.660113385826767,0.8070706942706616,0.022867918014526367,0,0.3779610529581833,0.3756343525852733,0.4791672500317241,0.17866643432288667,0.42759379151173554,0.690130421534082,0.3883068085288815,0.251879922793062,0.37109218778971775,0.4535237862785169,0.510869035070779,0.3192551726204724,0.7330897401203953
4,boston,001 knn,003 feature importance selection,11.351402708661416,0.8270143262628323,0.2636444568634033,0,False,True,False,True,False,True,False,True,False,True,True,False,True
5,boston,001 knn,011 feature importance weighting,11.500938834645671,0.8247355235311051,0.2636444568634033,0,0.048710854635704,0.000997548564932924,0.007087100281828251,0.0015374187394567211,0.018839822570355363,0.30064218766154766,0.01649726518727396,0.06217170154588846,0.005709627528680119,0.009283514130899595,0.016143689410474123,0.010334223811128532,0.5020450459318303
6,boston,001 knn,004 l1,11.815596472440948,0.8199404101105383,0.006848573684692383,0,True,False,False,False,False,True,False,False,False,False,True,True,True
7,boston,001 knn,005 relieff selection,11.500800251968505,0.8247376354126403,0.038153648376464844,0,True,False,True,False,True,True,True,True,False,True,False,True,True
8,boston,001 knn,012 relieff weighting,11.670415874015749,0.8221528383255099,0.038153648376464844,0,1.0,0.34497816593886466,0.8296943231441047,0.0,0.2703488372093023,0.997093023255814,0.9447674418604651,0.9331395348837209,0.6710334788937409,0.8296943231441047,0.7903930131004366,0.7979651162790697,0.997093023255814
9,boston,001 knn,006 forward selection,23.987579212598426,0.6344497981514801,4.509222745895386,0,True,False,False,False,False,False,False,False,False,False,False,False,True
10,boston,001 knn,007 backward selection,11.812935811023623,0.8199809563161197,7.344857454299927,0,True,False,True,False,True,True,False,False,True,False,True,True,True
11,boston,001 knn,008 stepwise selection,11.74653291338583,0.8209928797127946,9.018705129623413,0,True,False,False,False,False,True,False,False,True,False,False,True,True
12,boston,001 knn,009 bayesian selection,11.428463874015748,0.8258399799771862,33.28337097167969,6,True,True,False,False,True,True,False,True,True,True,False,True,True
13,boston,001 knn,013 bayesian weighting,9.966636094488186,0.8481169857199506,84.88465905189514,292,0.44730458218495195,0.36256681676665736,0.23328652173886533,0.6265182108624633,0.43220975220176033,0.08159762657021544,0.736477456908216,0.9075426510998598,0.4523514224298858,0.976046824942173,0.5161513309743719,0.800614318545533,0.04405116318708982
