,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,0.9473684210526315,0.9473684210526315,0.0,0,True,True,True,True
1,iris,000 rf,000 all,0.9473684210526315,0.9473684210526315,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9210526315789473,0.9210526315789473,0.13948583602905273,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,0.9473684210526315,0.9473684210526315,0.13948583602905273,0,0.12036413687456354,0.02474856180737699,0.4438650204186729,0.4110222808993867
4,iris,001 knn,004 l1,0.9736842105263158,0.9736842105263158,0.012043952941894531,0,False,True,True,True
5,iris,001 knn,005 relieff selection,0.9736842105263158,0.9736842105263158,0.03247666358947754,0,True,True,False,True
6,iris,001 knn,012 relieff weighting,0.9736842105263158,0.9736842105263158,0.03247666358947754,0,0.0703125,0.2265625,0.0,0.390625
7,iris,001 knn,006 forward selection,0.42105263157894735,0.42105263157894735,0.9481287002563477,0,False,False,True,False
8,iris,001 knn,007 backward selection,0.9736842105263158,0.9736842105263158,0.8243072032928467,0,False,True,True,True
9,iris,001 knn,008 stepwise selection,0.42105263157894735,0.42105263157894735,0.7983479499816895,0,False,False,True,False
10,iris,001 knn,009 bayesian selection,0.9736842105263158,0.9736842105263158,27.817713737487793,3,False,False,True,True
11,iris,001 knn,013 bayesian weighting,0.9736842105263158,0.9736842105263158,70.68160080909729,0,0.35970516900876237,0.1097612050481156,0.564898629854569,0.1938873325585012
