,dataset,base,method,PM1,PM2,Time,TriesToOpt,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0,boston,001 knn,000 all,15.12303118110236,0.7843839076716638,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,boston,000 rf,000 all,11.979455803028648,0.8292033245493337,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,boston,001 knn,002 intercorrelation,15.776522582677167,0.7750667766884387,0.0074422359466552734,0,True,True,True,True,True,True,True,True,False,True,True,True,True
3,boston,001 knn,010 correlation weighting,10.912834645669292,0.8444106386909545,0.0074422359466552734,0,0.3704831096936673,0.3705393876882235,0.4585860001308826,0.2040610039415402,0.40324591344168337,0.6945387056919788,0.3699081492262538,0.22288098420328728,0.3400254316213933,0.4318256986088867,0.4829809683421726,0.3117802108097742,0.7320021213585716
4,boston,001 knn,003 feature importance selection,10.183019842519682,0.8548159479238766,0.2712111473083496,0,False,True,False,True,False,True,False,True,False,True,True,False,True
5,boston,001 knn,011 feature importance weighting,13.321993952755909,0.8100621334627458,0.2712111473083496,0,0.03235347261818798,0.0010955275357373432,0.006014256829888048,0.0006308956036184249,0.01768755144088098,0.465644480618332,0.01450945682453337,0.07750491030109034,0.005792887607234859,0.0133344461596484,0.010843983866145325,0.013006040566568677,0.3415820900281343
6,boston,001 knn,004 l1,13.322411212598423,0.8100561843950191,0.0068743228912353516,0,False,False,False,True,False,True,False,False,False,False,True,True,True
7,boston,001 knn,005 relieff selection,13.326713322834646,0.8099948472076,0.06001615524291992,0,True,False,True,False,True,True,True,True,False,True,False,True,True
8,boston,001 knn,012 relieff weighting,13.34486198425197,0.8097360932971616,0.06001615524291992,0,1.0,0.363103953147877,0.7847730600292826,0.0,0.25578034682080925,0.9985549132947977,0.9248554913294798,0.9335260115606936,0.616398243045388,0.7847730600292826,0.7584187408491947,0.8251445086705202,0.9971098265895953
9,boston,001 knn,006 forward selection,21.14384818897638,0.6985423180911314,2.9875919818878174,0,False,False,False,False,False,False,False,False,False,False,False,False,True
10,boston,001 knn,007 backward selection,13.379357984251966,0.8092442677740976,8.827682495117188,0,False,False,False,True,False,True,False,False,True,True,False,True,True
11,boston,001 knn,008 stepwise selection,13.379357984251966,0.8092442677740976,7.551758527755737,0,False,False,False,True,False,True,False,False,True,True,False,True,True
12,boston,001 knn,009 bayesian selection,13.294724787401574,0.8104509226416046,33.55462574958801,10,False,False,False,True,True,True,True,True,False,False,False,True,True
13,boston,001 knn,013 bayesian weighting,8.438233070866142,0.8796921847804277,85.23824548721313,193,0.9645904884604884,0.4053807934399644,0.06406058110734042,0.7140504540203588,0.13231432647328023,0.027175403826958825,0.8662384448737216,0.2625333479991441,0.6704577345508462,0.6227810882891452,0.4371065012616053,0.8250800354819943,0.0320364780956098
