,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.861271676300578,0.861271676300578,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.9017341040462428,0.9017341040462428,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.8497109826589595,0.8497109826589595,0.15466809272766113,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.9075144508670521,0.9075144508670521,0.15466809272766113,0,0.011618381840376717,0.07678297974626878,0.08624303752812591,0.02246277845166416,0.0764656366824621,0.027453575237386712,0.09734074101098227,0.2585878389826466,0.050947571407821086,0.10395010365159077,0.012747084753974786,0.015031377186142694,0.07058563552067294,0.08978325799988467
4,australian,001 knn,004 l1,0.8901734104046243,0.8901734104046243,0.011825323104858398,0,False,False,False,True,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.884393063583815,0.884393063583815,0.057470083236694336,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.884393063583815,0.884393063583815,0.057470083236694336,0,0.8219056099732859,0.0,0.07970342910101946,0.9162956366874443,0.5227062094531973,0.37310774710596617,0.1686746987951807,1.0,0.8842386464826358,0.1558325912733749,0.7969723953695459,0.95013357079252,0.20203892493049125,0.2687673772011121
7,australian,001 knn,006 forward selection,0.9075144508670521,0.9075144508670521,3.4632680416107178,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.884393063583815,0.884393063583815,4.863439321517944,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8728323699421965,0.8728323699421965,3.4458794593811035,0,False,True,True,False,True,False,True,True,True,False,False,True,False,True
10,australian,001 knn,009 bayesian selection,0.9248554913294798,0.9248554913294798,34.43938660621643,10,False,True,False,False,False,False,True,True,False,False,False,True,True,True
11,australian,001 knn,013 bayesian weighting,0.930635838150289,0.930635838150289,88.19313168525696,278,0.17635117363872974,0.03946663148595645,0.0010032661200335604,0.43467468045893687,0.33091162186455986,0.7814999374281308,0.9768525909877025,0.18091554406224009,0.01905296277201862,0.7978353389512381,0.690095797010578,0.20409397873688584,0.24393155634978783,0.9817168395060095
