,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.9075144508670521,0.9075144508670521,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.9075144508670521,0.9075144508670521,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.861271676300578,0.861271676300578,0.15317964553833008,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.8901734104046243,0.8901734104046243,0.15317964553833008,0,0.010683282552310153,0.08163429656242666,0.09485236331922786,0.024022004751806693,0.06716879118085581,0.02436717436229496,0.09232541871788205,0.2725409462366797,0.059944716560776545,0.09088010944598289,0.015097427956250534,0.015497947921688609,0.07240191152600085,0.0785836089058167
4,australian,001 knn,004 l1,0.8959537572254336,0.8959537572254335,0.003973245620727539,0,False,False,False,True,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.8901734104046243,0.8901734104046243,0.057181358337402344,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8959537572254336,0.8959537572254335,0.057181358337402344,0,0.845749342681858,0.0,0.024007386888273308,0.8965819456617002,0.5133887349953832,0.27607361963190186,0.14589104339796866,1.0,0.8580192813321648,0.1481156879929886,0.8299737072743207,0.9544259421560035,0.18467220683287167,0.3268698060941828
7,australian,001 knn,006 forward selection,0.884393063583815,0.884393063583815,3.443164825439453,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.8959537572254336,0.8959537572254335,3.4102368354797363,0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8901734104046243,0.8901734104046243,3.4797959327697754,0,False,False,False,False,True,True,True,True,True,False,False,True,False,False
10,australian,001 knn,009 bayesian selection,0.9017341040462428,0.9017341040462428,34.22385621070862,0,False,True,True,False,False,True,False,True,True,True,False,True,True,False
11,australian,001 knn,013 bayesian weighting,0.9190751445086706,0.9190751445086706,89.21156191825867,74,0.3479901509384917,0.996680178707362,0.8028801089492393,0.8762237673997968,0.9192327562427249,0.31573991665846934,0.31231023820069115,0.44878280990547376,0.7840786500238693,0.5261971019564978,0.7671081431428602,0.19276237379984124,0.9201046908172534,0.4522926474434261
