,dataset,base,method,PM1,PM2,Time,TriesToOpt,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
0,breast_cancer,001 knn,000 all,0.9300699300699301,0.9300699300699301,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,breast_cancer,000 rf,000 all,0.9440559440559441,0.9440559440559441,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,breast_cancer,001 knn,003 feature importance selection,0.9300699300699301,0.9300699300699301,0.18287229537963867,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,breast_cancer,001 knn,011 feature importance weighting,0.9370629370629371,0.9370629370629371,0.18287229537963867,0,0.04107238145371192,0.010243407375756587,0.06029254637018077,0.04001641584763561,0.007405799587916519,0.012293084322565416,0.053223063244248775,0.09717522222076337,0.00216925071591253,0.0030400613836779546,0.020244679410914228,0.005872975554473119,0.005422482590505266,0.042721234816737175,0.0044784517436257856,0.004180205416116451,0.004467267009186264,0.003965468855709769,0.004135742198592251,0.003548783242068892,0.14369271086655902,0.014265144152940504,0.12109026840019414,0.11501675284111268,0.0099838914670322,0.020395485740430108,0.03487136890137908,0.09745455881700167,0.007349285849156077,0.009912009603895603
4,breast_cancer,001 knn,004 l1,0.9300699300699301,0.9300699300699301,0.005975008010864258,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False
5,breast_cancer,001 knn,005 relieff selection,0.9370629370629371,0.9370629370629371,0.05448293685913086,0,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
6,breast_cancer,001 knn,012 relieff weighting,0.9230769230769231,0.9230769230769231,0.05448293685913086,0,0.0070372976776917895,0.0,0.0014074595355383357,0.0028149190710766714,0.004222378606615007,0.0028149190710766714,0.019704433497536922,0.018296973961998586,0.008444757213230125,0.0,0.0028149190710766714,0.0,0.0,0.0,0.0028149190710766714,0.0,0.021111893033075257,0.018296973961998586,0.0014074595355383357,0.0,0.004222378606615007,0.0014074595355383357,0.0028149190710766714,0.004222378606615007,0.009852216748768461,0.0,0.018296973961998586,0.02392681210415204,0.0028149190710766714,0.0
7,breast_cancer,001 knn,006 forward selection,0.9090909090909091,0.9090909090909091,10.988596200942993,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,breast_cancer,001 knn,007 backward selection,0.9230769230769231,0.9230769230769231,7.392516374588013,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,breast_cancer,001 knn,008 stepwise selection,0.9090909090909091,0.9090909090909091,7.406562328338623,0,True,False,False,False,True,False,True,False,True,True,True,False,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False
10,breast_cancer,001 knn,009 bayesian selection,0.9300699300699301,0.9300699300699301,42.31333637237549,118,False,True,False,False,True,False,True,True,True,True,True,True,False,False,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,True
11,breast_cancer,001 knn,013 bayesian weighting,0.9370629370629371,0.9370629370629371,110.95820546150208,125,0.9910141583041814,0.41490067292551486,0.28104118674392836,0.1606139362782954,0.0359916725910114,0.9189885429983603,0.5988372819954901,0.8656349097009302,0.3879325732555371,0.5246691023711941,0.21643342029481358,0.31945272815718023,0.502167725524014,0.6005618971879115,0.23943424576999972,0.10930034600003519,0.2912724469274948,0.3869460366412034,0.7669277045733423,0.31332478188276414,0.9837366514940339,0.32424858848066895,0.9332221496426123,0.3153378668664989,0.9251329243280287,0.49187042990573693,0.2841178328914914,0.143365152470089,0.8013587481538981,0.9993278134214092
