,dataset,base,method,PM1,PM2,Time,TriesToOpt,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
0,machine,001 knn,000 all,12535.83490566038,0.5082873686354203,0.0,0,True,True,True,True,True,True
1,machine,000 rf,000 all,4298.160746251893,0.8314065280475925,0.0,0,True,True,True,True,True,True
2,machine,001 knn,002 intercorrelation,12535.83490566038,0.5082873686354203,0.015901565551757812,0,True,True,True,True,True,True
3,machine,001 knn,010 correlation weighting,11987.964905660374,0.5297773293259582,0.015901565551757812,0,0.32789844594556583,0.8475940303233471,0.8612019253195528,0.7156791462628557,0.6560036279495564,0.577262205990733
4,machine,001 knn,003 feature importance selection,14449.513584905662,0.43322416095604144,0.1254873275756836,0,False,True,False,True,True,False
5,machine,001 knn,011 feature importance weighting,9477.557735849057,0.6282469505800683,0.1254873275756836,0,0.012638155391916416,0.15682817059800008,0.46524490674442776,0.10470068709377925,0.22834449113388763,0.03224358903798889
6,machine,001 knn,004 l1,9477.557735849057,0.6282469505800683,0.0076751708984375,0,True,True,True,True,True,True
7,machine,001 knn,005 relieff selection,13365.028113207547,0.47576262839585703,0.030864715576171875,0,True,True,False,True,False,True
8,machine,001 knn,012 relieff weighting,12927.55396226415,0.4929223602791505,0.030864715576171875,0,1.0,0.28608923884514437,0.023622047244094488,0.32808398950131235,0.0,0.905511811023622
9,machine,001 knn,006 forward selection,13237.949999999997,0.48074721170477697,2.763242244720459,0,False,True,True,True,False,False
10,machine,001 knn,007 backward selection,13214.670943396222,0.481660322499907,1.2724494934082031,0,True,True,True,True,True,False
11,machine,001 knn,008 stepwise selection,13237.949999999997,0.48074721170477697,2.089108943939209,0,False,True,True,True,False,False
12,machine,001 knn,009 bayesian selection,9721.804528301886,0.6186664771673952,29.100329399108887,37,False,False,True,True,True,False
13,machine,001 knn,013 bayesian weighting,7246.773207547169,0.7157484962428484,74.36508250236511,378,0.49280368421694976,1.4784693309656538e-05,0.9267578170566952,0.13107977996963838,0.946775258401217,0.0008181368056795618
