,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,0.9473684210526315,0.9473684210526315,0.0,0,True,True,True,True
1,iris,000 rf,000 all,1.0,1.0,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9736842105263158,0.9736842105263158,0.13835525512695312,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,1.0,1.0,0.13835525512695312,0,0.07183972558377033,0.022871941726176154,0.4288182035234782,0.4764701291665754
4,iris,001 knn,004 l1,1.0,1.0,0.0036573410034179688,0,False,False,True,True
5,iris,001 knn,005 relieff selection,0.9736842105263158,0.9736842105263158,0.033751487731933594,0,True,True,False,True
6,iris,001 knn,012 relieff weighting,0.9736842105263158,0.9736842105263158,0.033751487731933594,0,0.128,0.392,0.0,0.488
7,iris,001 knn,006 forward selection,0.9736842105263158,0.9736842105263158,0.9334826469421387,0,False,False,False,True
8,iris,001 knn,007 backward selection,0.9736842105263158,0.9736842105263158,0.8215761184692383,0,False,True,True,True
9,iris,001 knn,008 stepwise selection,0.9736842105263158,0.9736842105263158,0.9362435340881348,0,True,False,True,True
10,iris,001 knn,009 bayesian selection,0.9736842105263158,0.9736842105263158,28.17024827003479,2,True,False,True,True
11,iris,001 knn,013 bayesian weighting,0.9736842105263158,0.9736842105263158,70.53031301498413,0,0.8008822111066443,0.24704984309528621,0.1839522202794276,0.18739498946810762
