,dataset,base,method,PM1,PM2,Time,TriesToOpt,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
0,fire,001 knn,000 all,2.236961119380639,-0.007039778002134289,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
1,fire,000 rf,000 all,2.393956331688888,-0.07771620701135684,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
2,fire,001 knn,002 intercorrelation,2.2346591712427184,-0.006003482233870594,0.0065114498138427734,0,True,True,True,True,True,True,False,True,True,True,True,True
3,fire,001 knn,010 correlation weighting,2.219107467302714,0.0009976159736981849,0.0065114498138427734,0,0.08084280365699735,0.0688367645181472,0.12222600536528033,0.015085542744583602,0.051827138515399,0.05260675906635772,0.06791662598868844,0.0021722107550263196,0.0627464967208937,0.07284456606572479,0.04458017376598236,0.027698497984051468
4,fire,001 knn,003 feature importance selection,2.3090461141993144,-0.0394911498881072,0.24636268615722656,0,False,True,False,True,False,True,False,True,False,True,False,True
5,fire,001 knn,011 feature importance weighting,2.2686424366218305,-0.02130213884737686,0.24636268615722656,0,0.08252814661492042,0.07097977205923192,0.04141086096445746,0.048532320867876316,0.07111369196129554,0.1194324753261233,0.09161902954637341,0.08284878964273665,0.17258392238064943,0.11091366438303288,0.10673092126867091,0.0013064049846318335
6,fire,001 knn,004 l1,-1.0,-1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False
7,fire,001 knn,005 relieff selection,2.249273020975458,-0.01258237529692452,0.034162044525146484,0,True,False,False,True,True,True,True,True,True,True,True,False
8,fire,001 knn,012 relieff weighting,2.2438297362590176,-0.010131906138138191,0.034162044525146484,0,0.14108910891089108,0.8971291866028708,0.6842105263157895,0.29455445544554454,0.8514851485148515,0.8712871287128713,0.8737623762376238,0.8168316831683168,1.0,0.9133663366336634,0.6237623762376238,0.0
9,fire,001 knn,006 forward selection,2.302905976202351,-0.036726969879884,2.7549867630004883,0,False,False,False,False,False,False,False,False,False,False,False,True
10,fire,001 knn,007 backward selection,2.2473759052582873,-0.011728327824166884,3.8757669925689697,0,True,True,True,True,False,True,True,False,True,True,True,True
11,fire,001 knn,008 stepwise selection,2.3413402963239665,-0.05402941151268781,8.35332989692688,0,False,True,False,False,True,True,False,False,True,False,True,False
12,fire,001 knn,009 bayesian selection,2.170562338144876,0.022851762506084006,32.8105092048645,122,True,False,True,True,False,False,True,False,True,False,False,False
13,fire,001 knn,013 bayesian weighting,2.107234158915371,0.051360973059648485,83.23922514915466,342,0.6760126321005097,0.7397279039866013,0.9978765436698885,0.5750249946766881,0.2460356311323426,0.02447443202515103,0.6571620030857024,0.06406590555377459,0.6495246216224599,0.04073910867168115,0.8033140819609416,0.4079178434652535
