,dataset,base,method,PM1,PM2,Time,TriesToOpt,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
0,bike,001 knn,000 all,864972.8727399987,0.7623441583392434,0.0,0,True,True,True,True,True,True,True,True,True,True,True
1,bike,000 rf,000 all,375362.2895934445,0.8968672386470861,0.0,0,True,True,True,True,True,True,True,True,True,True,True
2,bike,001 knn,002 intercorrelation,984343.5882159483,0.7295464270459859,0.021038055419921875,0,True,True,False,True,True,True,True,False,True,True,True
3,bike,001 knn,010 correlation weighting,628939.449824597,0.8271955814888924,0.021038055419921875,0,0.42057680924689733,0.5881179546549875,0.29263502708836336,0.04916585978247234,0.045334174702111235,0.06786200913625866,0.2816593350220595,0.6140447717116744,0.6142741612043857,0.06806663067216011,0.27039870694315704
4,bike,001 knn,003 feature importance selection,839539.8121163058,0.7693320253799588,0.26352834701538086,0,False,True,True,False,True,False,True,False,True,False,True
5,bike,001 knn,011 feature importance weighting,807168.0174854957,0.7782263460477087,0.26352834701538086,0,0.065193230768668,0.3034346153538553,0.026693387268393785,0.0028675812628339275,0.015290891338969662,0.004113635854999748,0.017040180378327326,0.3817799838077364,0.0780982387505796,0.06528392007182016,0.040204335143816085
6,bike,001 knn,004 l1,807168.0174854957,0.7782263460477087,0.00742030143737793,0,True,True,True,True,True,True,True,True,True,True,True
7,bike,001 knn,005 relieff selection,1676722.3457928558,0.5393117253972208,0.0726768970489502,0,True,False,True,False,True,False,True,True,True,True,True
8,bike,001 knn,012 relieff weighting,818074.4287129797,0.7752297522567897,0.0726768970489502,0,0.45299561617145645,0.1315148563078422,0.26546517291768146,0.0,0.023867510959571358,0.06429615197272287,0.1636629322942036,0.9912323429128105,1.0,0.9980516317584024,1.0
9,bike,001 knn,006 forward selection,1064751.0012691424,0.707454067820444,11.555303812026978,0,True,True,False,False,False,False,True,True,True,True,False
10,bike,001 knn,007 backward selection,816097.2410738379,0.7757729949494917,5.199711799621582,0,True,True,False,False,False,False,True,True,True,True,True
11,bike,001 knn,008 stepwise selection,816097.2410738379,0.7757729949494917,6.386662721633911,0,True,True,False,False,False,False,True,True,True,True,True
12,bike,001 knn,009 bayesian selection,711785.4473495581,0.8044332083665414,32.11728644371033,48,True,True,True,False,True,True,False,False,True,True,True
13,bike,001 knn,013 bayesian weighting,517963.2428405181,0.8576868774662719,83.16562080383301,499,0.24377751690159918,0.15092842790379088,0.37756109008718647,0.3653337996299675,0.2428093429835874,0.12412586267579134,0.08567290688251598,0.04017493598441377,0.10952361225638596,0.8405710416492558,0.305128183421782
