,dataset,base,method,PM1,PM2,Time,TriesToOpt
0,australian,001 knn,000 all,0.8786127167630058,0.8786127167630058,0.0,0
1,australian,000 rf,000 all,0.8728323699421965,0.8728323699421965,0.0,0
2,australian,001 knn,003 feature importance selection,0.8554913294797688,0.8554913294797687,0.14219975471496582,0
3,australian,001 knn,011 feature importance weighting,0.884393063583815,0.884393063583815,0.14219975471496582,0
4,australian,001 knn,004 l1,0.884393063583815,0.884393063583815,0.01203608512878418,0
5,australian,001 knn,005 relieff selection,0.884393063583815,0.884393063583815,0.05754542350769043,0
6,australian,001 knn,012 relieff weighting,0.8786127167630058,0.8786127167630058,0.05754542350769043,0
7,australian,001 knn,006 forward selection,0.884393063583815,0.884393063583815,3.460636615753174,0
8,australian,001 knn,007 backward selection,0.8786127167630058,0.8786127167630058,3.333481788635254,0
9,australian,001 knn,008 stepwise selection,0.8728323699421965,0.8728323699421965,3.4836058616638184,0
10,australian,001 knn,009 bayesian selection,0.9017341040462428,0.9017341040462428,34.25032877922058,5
11,australian,001 knn,013 bayesian weighting,0.9364161849710982,0.9364161849710982,88.14176344871521,170
12,glass,001 knn,000 all,0.6296296296296297,0.6296296296296297,0.0,0
13,glass,000 rf,000 all,0.7592592592592593,0.7592592592592593,0.0,0
14,glass,001 knn,003 feature importance selection,0.6851851851851852,0.6851851851851852,0.15508055686950684,0
15,glass,001 knn,011 feature importance weighting,0.6111111111111112,0.6111111111111112,0.15508055686950684,0
16,glass,001 knn,004 l1,0.6481481481481481,0.6481481481481481,0.0038747787475585938,0
17,glass,001 knn,005 relieff selection,0.6296296296296297,0.6296296296296297,0.019325733184814453,0
18,glass,001 knn,012 relieff weighting,0.6296296296296297,0.6296296296296297,0.019325733184814453,0
19,glass,001 knn,006 forward selection,0.48148148148148145,0.48148148148148145,3.238770008087158,0
20,glass,001 knn,007 backward selection,0.5925925925925926,0.5925925925925926,2.8366315364837646,0
21,glass,001 knn,008 stepwise selection,0.6111111111111112,0.6111111111111112,2.1450929641723633,0
22,glass,001 knn,009 bayesian selection,0.6851851851851852,0.6851851851851852,30.45754098892212,0
23,glass,001 knn,013 bayesian weighting,0.7592592592592593,0.7592592592592593,78.29306745529175,243
24,breast_cancer,001 knn,000 all,0.965034965034965,0.965034965034965,0.0,0
25,breast_cancer,000 rf,000 all,0.9790209790209791,0.9790209790209791,0.0,0
26,breast_cancer,001 knn,003 feature importance selection,0.972027972027972,0.972027972027972,0.15482783317565918,0
27,breast_cancer,001 knn,011 feature importance weighting,0.951048951048951,0.951048951048951,0.15482783317565918,0
28,breast_cancer,001 knn,004 l1,0.958041958041958,0.958041958041958,0.014611005783081055,0
29,breast_cancer,001 knn,005 relieff selection,0.965034965034965,0.965034965034965,0.05531716346740723,0
30,breast_cancer,001 knn,012 relieff weighting,0.958041958041958,0.958041958041958,0.05531716346740723,0
31,breast_cancer,001 knn,006 forward selection,0.958041958041958,0.958041958041958,10.955410957336426,0
32,breast_cancer,001 knn,007 backward selection,0.951048951048951,0.951048951048951,7.399193286895752,0
33,breast_cancer,001 knn,008 stepwise selection,0.958041958041958,0.958041958041958,7.351320028305054,0
34,breast_cancer,001 knn,009 bayesian selection,0.972027972027972,0.972027972027972,42.18338632583618,20
35,breast_cancer,001 knn,013 bayesian weighting,0.9790209790209791,0.9790209790209791,110.5646288394928,240
36,ecoli,001 knn,000 all,0.8571428571428571,0.8571428571428571,0.0,0
37,ecoli,000 rf,000 all,0.8571428571428571,0.8571428571428571,0.0,0
38,ecoli,001 knn,003 feature importance selection,0.8452380952380952,0.8452380952380952,0.14231228828430176,0
39,ecoli,001 knn,011 feature importance weighting,0.8571428571428571,0.8571428571428571,0.14231228828430176,0
40,ecoli,001 knn,004 l1,0.8571428571428571,0.8571428571428571,0.004311561584472656,0
41,ecoli,001 knn,005 relieff selection,0.7738095238095238,0.7738095238095238,0.026564598083496094,0
42,ecoli,001 knn,012 relieff weighting,0.7857142857142857,0.7857142857142857,0.026564598083496094,0
43,ecoli,001 knn,006 forward selection,0.8333333333333334,0.8333333333333334,4.21269679069519,0
44,ecoli,001 knn,007 backward selection,0.8452380952380952,0.8452380952380952,2.6268928050994873,0
45,ecoli,001 knn,008 stepwise selection,0.7142857142857143,0.7142857142857143,1.6738121509552002,0
46,ecoli,001 knn,009 bayesian selection,0.8452380952380952,0.8452380952380952,29.93043804168701,6
47,ecoli,001 knn,013 bayesian weighting,0.9166666666666666,0.9166666666666666,75.7771475315094,82
48,ionosphere,001 knn,000 all,0.7727272727272727,0.7727272727272727,0.0,0
49,ionosphere,000 rf,000 all,0.9318181818181818,0.9318181818181818,0.0,0
50,ionosphere,001 knn,003 feature importance selection,0.6363636363636364,0.6363636363636364,0.17067480087280273,0
51,ionosphere,001 knn,011 feature importance weighting,0.875,0.875,0.17067480087280273,0
52,ionosphere,001 knn,004 l1,0.8977272727272727,0.8977272727272727,0.0036263465881347656,0
53,ionosphere,001 knn,005 relieff selection,0.875,0.875,0.026844024658203125,0
54,ionosphere,001 knn,012 relieff weighting,0.9090909090909091,0.9090909090909091,0.026844024658203125,0
55,ionosphere,001 knn,006 forward selection,0.8977272727272727,0.8977272727272727,12.29002571105957,0
56,ionosphere,001 knn,007 backward selection,0.9090909090909091,0.9090909090909091,15.664427995681763,0
57,ionosphere,001 knn,008 stepwise selection,0.8863636363636364,0.8863636363636365,28.558248043060303,0
58,ionosphere,001 knn,009 bayesian selection,0.9318181818181818,0.9318181818181818,44.33737540245056,2
59,ionosphere,001 knn,013 bayesian weighting,0.9318181818181818,0.9318181818181818,117.1757538318634,6
60,iris,001 knn,000 all,1.0,1.0,0.0,0
61,iris,000 rf,000 all,0.9473684210526315,0.9473684210526315,0.0,0
62,iris,001 knn,003 feature importance selection,0.9473684210526315,0.9473684210526315,0.1385180950164795,0
63,iris,001 knn,011 feature importance weighting,0.9736842105263158,0.9736842105263158,0.1385180950164795,0
64,iris,001 knn,004 l1,0.9736842105263158,0.9736842105263158,0.01193690299987793,0
65,iris,001 knn,005 relieff selection,0.9473684210526315,0.9473684210526315,0.03298830986022949,0
66,iris,001 knn,012 relieff weighting,0.9473684210526315,0.9473684210526315,0.03298830986022949,0
67,iris,001 knn,006 forward selection,0.9473684210526315,0.9473684210526315,0.9485752582550049,0
68,iris,001 knn,007 backward selection,0.9473684210526315,0.9473684210526315,0.8235123157501221,0
69,iris,001 knn,008 stepwise selection,0.2894736842105263,0.2894736842105263,0.8225758075714111,0
70,iris,001 knn,009 bayesian selection,0.9473684210526315,0.9473684210526315,28.096096515655518,0
71,iris,001 knn,013 bayesian weighting,0.9473684210526315,0.9473684210526315,70.58621311187744,0
72,sonar,001 knn,000 all,0.8269230769230769,0.8269230769230769,0.0,0
73,sonar,000 rf,000 all,0.7692307692307693,0.7692307692307693,0.0,0
74,sonar,001 knn,003 feature importance selection,0.7307692307692307,0.7307692307692306,0.16204166412353516,0
75,sonar,001 knn,011 feature importance weighting,0.75,0.75,0.16204166412353516,0
76,sonar,001 knn,004 l1,0.5961538461538461,0.5961538461538461,0.013762235641479492,0
77,sonar,001 knn,005 relieff selection,0.7115384615384616,0.7115384615384616,0.014575719833374023,0
78,sonar,001 knn,012 relieff weighting,0.7692307692307693,0.7692307692307693,0.014575719833374023,0
79,sonar,001 knn,006 forward selection,0.7115384615384616,0.7115384615384616,35.32799959182739,0
80,sonar,001 knn,007 backward selection,0.7692307692307693,0.7692307692307693,28.052831172943115,0
81,sonar,001 knn,008 stepwise selection,0.6923076923076923,0.6923076923076923,21.37825918197632,0
82,sonar,001 knn,009 bayesian selection,0.8269230769230769,0.8269230769230769,57.37974834442139,14
83,sonar,001 knn,013 bayesian weighting,0.9038461538461539,0.9038461538461539,156.07509803771973,165
84,wine,001 knn,000 all,0.9777777777777777,0.9777777777777777,0.0,0
85,wine,000 rf,000 all,1.0,1.0,0.0,0
86,wine,001 knn,003 feature importance selection,0.9777777777777777,0.9777777777777777,0.14000892639160156,0
87,wine,001 knn,011 feature importance weighting,0.9777777777777777,0.9777777777777777,0.14000892639160156,0
88,wine,001 knn,004 l1,0.9777777777777777,0.9777777777777777,0.012671232223510742,0
89,wine,001 knn,005 relieff selection,0.8222222222222222,0.8222222222222222,0.037461280822753906,0
90,wine,001 knn,012 relieff weighting,0.9333333333333333,0.9333333333333333,0.037461280822753906,0
91,wine,001 knn,006 forward selection,0.7333333333333333,0.7333333333333333,4.598538637161255,0
92,wine,001 knn,007 backward selection,0.9111111111111111,0.9111111111111111,2.9623119831085205,0
93,wine,001 knn,008 stepwise selection,0.9333333333333333,0.9333333333333333,4.603631258010864,0
94,wine,001 knn,009 bayesian selection,0.9777777777777777,0.9777777777777777,32.94898176193237,45
95,wine,001 knn,013 bayesian weighting,0.9777777777777777,0.9777777777777777,84.43047332763672,15
96,car,001 knn,000 all,0.7708333333333334,0.7708333333333333,0.0,0
97,car,000 rf,000 all,0.9629629629629629,0.9629629629629629,0.0,0
98,car,001 knn,003 feature importance selection,0.7407407407407407,0.7407407407407407,0.16998600959777832,0
99,car,001 knn,011 feature importance weighting,0.8310185185185185,0.8310185185185185,0.16998600959777832,0
100,car,001 knn,004 l1,0.8402777777777778,0.8402777777777778,0.01686882972717285,0
