base,method,TriesToOpt,Time,MinTime,MaxTime
000 rf,000 all,0.0,0.0,0.0,0.0
001 knn,000 all,0.0,0.0,0.0,0.0
001 knn,002 intercorrelation,0.0,0.020337374891553604,0.012577419281005859,0.039135143756866456
001 knn,003 feature importance selection,0.0,0.3437233008657183,0.13953155755996705,1.066690435409546
001 knn,004 l1,0.0,0.00933948074068342,0.0,0.014809165000915527
001 knn,005 relieff selection,0.0,0.07264508145196098,0.032132914066314695,0.2294914412498474
001 knn,006 forward selection,0.0,7.5225354739597865,3.034296462535858,18.293491208553313
001 knn,007 backward selection,0.0,5.772918997832707,1.7504464054107667,14.165090773105621
001 knn,008 stepwise selection,0.0,7.044460898126874,2.3964026260375975,16.840829305648803
001 knn,009 bayesian selection,76.77714285714286,33.33199216808591,29.16529592037201,42.40642001867295
001 knn,010 correlation weighting,0.0,0.020337374891553604,0.012577419281005859,0.039135143756866456
001 knn,011 feature importance weighting,0.0,0.3437233008657183,0.13953155755996705,1.066690435409546
001 knn,012 relieff weighting,0.0,0.07264508145196098,0.032132914066314695,0.2294914412498474
001 knn,013 bayesian weighting,368.68142857142857,85.89848194122315,74.06482538461685,111.33628469705582
