,dataset,base,method,PM1,PM2,Time,TriesToOpt,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,wine,001 knn,000 all,0.9555555555555556,0.9555555555555556,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,wine,000 rf,000 all,1.0,1.0,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,wine,001 knn,003 feature importance selection,0.9555555555555556,0.9555555555555556,0.14619970321655273,0,False,True,False,True,False,True,False,True,False,True,False,True,False
3,wine,001 knn,011 feature importance weighting,0.9777777777777777,0.9777777777777777,0.14619970321655273,0,0.11511589625002056,0.03186866496456282,0.013746608841668558,0.015743557161161728,0.018969351042355434,0.07600018723346552,0.13466456040360644,0.006588711382681366,0.02014664270585167,0.16345431826586068,0.11182355295725159,0.11360426787080137,0.17827368092071236
4,wine,001 knn,004 l1,1.0,1.0,0.003908872604370117,0,True,False,False,False,False,False,True,False,False,True,True,True,True
5,wine,001 knn,005 relieff selection,0.9555555555555556,0.9555555555555556,0.03676486015319824,0,True,False,True,True,True,True,False,True,False,True,True,True,False
6,wine,001 knn,012 relieff weighting,0.9777777777777777,0.9777777777777777,0.03676486015319824,0,0.02409638554216864,0.004819277108433773,0.03373493975903619,0.08192771084337347,0.048192771084337394,0.03855421686746985,0.004819277108433773,0.09156626506024101,0.01927710843373498,0.01927710843373498,0.04337349397590362,0.03855421686746985,0.0
7,wine,001 knn,006 forward selection,0.9111111111111111,0.9111111111111111,6.128211498260498,0,False,False,False,False,False,False,True,False,False,True,False,True,False
8,wine,001 knn,007 backward selection,0.9777777777777777,0.9777777777777777,3.005507707595825,0,True,True,True,True,True,True,True,True,True,True,False,True,True
9,wine,001 knn,008 stepwise selection,0.9333333333333333,0.9333333333333333,3.0196003913879395,0,True,False,False,False,False,True,True,True,False,True,False,False,False
10,wine,001 knn,009 bayesian selection,0.9777777777777777,0.9777777777777777,32.846808195114136,29,True,False,True,True,True,True,True,True,True,True,True,True,True
11,wine,001 knn,013 bayesian weighting,0.9777777777777777,0.9777777777777777,84.65855717658997,5,0.8373292322462634,0.4471803079346822,0.8145284385139651,0.4998228138003077,0.9006665254555708,0.04649718254355173,0.6671595767873757,0.9306265040167071,0.4848797114565915,0.8649124985133863,0.4238301669547161,0.907833222077998,0.9334115899422119
