,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.6481481481481481,0.6481481481481481,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.7962962962962963,0.7962962962962963,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.5925925925925926,0.5925925925925926,0.15325689315795898,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.5925925925925926,0.5925925925925926,0.15325689315795898,0,0.14430556372670272,0.10626848345293777,0.16896091565568738,0.14354666016020473,0.08378246990059694,0.08578719153392265,0.14676744858758017,0.08455990857994346,0.036021358402424174
4,glass,001 knn,004 l1,0.6851851851851852,0.6851851851851852,0.0038442611694335938,0,False,False,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.5740740740740741,0.5740740740740741,0.020409345626831055,0,True,True,True,False,False,True,False,True,True
6,glass,001 knn,012 relieff weighting,0.6481481481481481,0.6481481481481481,0.020409345626831055,0,0.23636363636363633,0.1454545454545455,0.49090909090909096,0.036363636363636376,0.0,0.34545454545454546,0.09090909090909094,1.0,0.45454545454545453
7,glass,001 knn,006 forward selection,0.6296296296296297,0.6296296296296297,3.220975399017334,0,False,False,False,False,False,True,False,True,False
8,glass,001 knn,007 backward selection,0.6111111111111112,0.6111111111111112,3.559905529022217,0,False,False,True,True,True,True,False,True,True
9,glass,001 knn,008 stepwise selection,0.5925925925925926,0.5925925925925926,3.179385185241699,0,True,True,False,True,False,True,False,True,True
10,glass,001 knn,009 bayesian selection,0.6851851851851852,0.6851851851851852,30.489954710006714,29,True,False,True,True,False,False,True,True,False
11,glass,001 knn,013 bayesian weighting,0.7407407407407407,0.7407407407407407,77.48831701278687,123,0.9098937774343148,0.0035206336771893662,0.5879008381160317,0.9227289478656698,0.8528770265599219,0.39135419369051216,0.7519771252600125,0.6753868988967543,0.1510178024725522
