,dataset,base,method,PM1,PM2,Time,TriesToOpt,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,wine,001 knn,000 all,0.9555555555555556,0.9555555555555556,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,wine,000 rf,000 all,0.9777777777777777,0.9777777777777777,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True
2,wine,001 knn,003 feature importance selection,0.9777777777777777,0.9777777777777777,0.1464405059814453,0,False,True,False,True,False,True,False,True,False,True,False,True,False
3,wine,001 knn,011 feature importance weighting,0.9555555555555556,0.9555555555555556,0.1464405059814453,0,0.13892474873252028,0.03181149896172416,0.016816003269535102,0.02170357568897422,0.027161985879787447,0.058459796262340276,0.15568204306590305,0.010250764647186154,0.011242618437810931,0.14890518632392175,0.11320991903648747,0.10224991060282272,0.16358194909098644
4,wine,001 knn,004 l1,0.9777777777777777,0.9777777777777777,0.012937545776367188,0,True,False,False,False,False,False,True,False,False,True,True,True,True
5,wine,001 knn,005 relieff selection,0.9555555555555556,0.9555555555555556,0.0376582145690918,0,True,False,True,True,True,True,True,True,False,False,True,True,False
6,wine,001 knn,012 relieff weighting,0.9555555555555556,0.9555555555555556,0.0376582145690918,0,0.03189066059225509,0.0,0.07289293849658318,0.1503416856492027,0.10022779043280183,0.07289293849658318,0.06833712984054674,0.10933940774487472,0.018223234624145768,0.004555808656036442,0.04555808656036442,0.03189066059225509,0.02733485193621865
7,wine,001 knn,006 forward selection,0.9333333333333333,0.9333333333333333,6.058686017990112,0,True,False,True,False,False,False,True,False,False,False,False,False,False
8,wine,001 knn,007 backward selection,0.9111111111111111,0.9111111111111111,4.215631008148193,0,False,True,True,True,True,False,True,True,True,True,True,True,True
9,wine,001 knn,008 stepwise selection,0.9555555555555556,0.9555555555555556,6.134149074554443,0,True,False,True,True,True,False,False,True,False,False,True,False,True
10,wine,001 knn,009 bayesian selection,0.9777777777777777,0.9777777777777777,32.87807822227478,19,True,True,False,True,True,True,False,False,True,True,True,True,True
11,wine,001 knn,013 bayesian weighting,1.0,1.0,84.90599489212036,13,0.6929451571070333,0.8069269365639505,0.9719731593027786,0.930583575723541,0.10451814782493381,0.0015483967377594166,0.28807936022064284,0.6570936076135059,0.857836511249251,0.4905058462212325,0.19018212561864573,0.2872119258822645,0.6997377487085256
