,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.8928571428571429,0.8928571428571429,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.8571428571428571,0.8571428571428571,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.7738095238095238,0.7738095238095238,0.16379570960998535,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.8690476190476191,0.8690476190476191,0.16379570960998535,0,0.22932919931578388,0.1814559987415737,0.020552922043367696,0.0,0.1356740778053974,0.257747514009843,0.17524028808403427
4,ecoli,001 knn,004 l1,0.8690476190476191,0.8690476190476191,0.013559341430664062,0,True,True,False,False,True,True,True
5,ecoli,001 knn,005 relieff selection,0.6190476190476191,0.6190476190476191,0.04352068901062012,0,True,True,True,True,True,False,False
6,ecoli,001 knn,012 relieff weighting,0.7976190476190477,0.7976190476190477,0.04352068901062012,0,0.043196544276457916,0.04751619870410362,1.0,1.0,0.09503239740820735,0.0,0.03455723542116629
7,ecoli,001 knn,006 forward selection,0.6428571428571429,0.6428571428571429,5.043390989303589,0,True,True,False,False,True,True,False
8,ecoli,001 knn,007 backward selection,0.8095238095238095,0.8095238095238095,1.5640645027160645,0,True,True,False,True,True,True,True
9,ecoli,001 knn,008 stepwise selection,0.8095238095238095,0.8095238095238095,4.249024152755737,0,True,True,False,False,True,True,True
10,ecoli,001 knn,009 bayesian selection,0.8095238095238095,0.8095238095238095,30.292399883270264,46,True,True,False,False,True,True,True
11,ecoli,001 knn,013 bayesian weighting,0.8571428571428571,0.8571428571428571,76.84166479110718,120,0.3114539927652864,0.2983723992078662,0.8321798981169056,0.7246832455625811,0.4640634833100626,0.6841630851222278,0.8722678900408811
