,dataset,base,method,PM1,PM2,Time,TriesToOpt,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
0,machine,001 knn,000 all,13708.364905660379,0.6078315533997589,0.0,0,True,True,True,True,True,True
1,machine,000 rf,000 all,5591.749180264547,0.8400314257102219,0.0,0,True,True,True,True,True,True
2,machine,001 knn,002 intercorrelation,13708.364905660379,0.6078315533997589,0.014283180236816406,0,True,True,True,True,True,True
3,machine,001 knn,010 correlation weighting,10163.059245283019,0.7092555396389297,0.014283180236816406,0,0.3273131135413344,0.721878307368973,0.8830190042228515,0.6177226867390582,0.531590302792225,0.6298613440424634
4,machine,001 knn,003 feature importance selection,8224.680754716983,0.7647086069303262,0.12939023971557617,0,False,True,False,True,True,False
5,machine,001 knn,011 feature importance weighting,12187.932830188676,0.6513280235697871,0.12939023971557617,0,0.02175268959381308,0.0509124010428018,0.6551975186572088,0.1035747100601146,0.028700141058447298,0.13986253958761455
6,machine,001 knn,004 l1,12187.932830188676,0.6513280235697871,0.014988899230957031,0,True,True,True,True,True,True
7,machine,001 knn,005 relieff selection,15174.019433962265,0.5659021574745435,0.0347743034362793,0,True,True,False,True,False,True
8,machine,001 knn,012 relieff weighting,17919.59603773585,0.48735679344799543,0.0347743034362793,0,1.0,0.11838790931989925,0.08312342569269521,0.3904282115869018,0.007556675062972292,0.7380352644836272
9,machine,001 knn,006 forward selection,12910.250943396228,0.6306639710473119,2.787040948867798,0,False,False,True,False,True,False
10,machine,001 knn,007 backward selection,10697.085660377359,0.6939781297441459,1.7376620769500732,0,True,False,True,True,True,False
11,machine,001 knn,008 stepwise selection,17925.88433962264,0.4871768979170792,1.3926513195037842,0,False,True,True,True,False,True
12,machine,001 knn,009 bayesian selection,10483.498301886793,0.700088429781323,29.39206886291504,1,False,True,True,True,False,False
13,machine,001 knn,013 bayesian weighting,9407.478867924528,0.7308711579062805,74.11818385124207,488,0.03575527987860461,0.06724863853674012,0.3132796317604459,0.873728531355062,0.9556201775110814,0.03556860164636696
