,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.5925925925925926,0.5925925925925926,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.7222222222222222,0.7222222222222222,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.5740740740740741,0.5740740740740741,0.15288066864013672,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.6111111111111112,0.6111111111111112,0.15288066864013672,0,0.14175317549952524,0.08688204963388305,0.15323002772660554,0.17720056898164796,0.07810886665548944,0.10383751617946084,0.11599596573631858,0.09145429382236399,0.0515375357647054
4,glass,001 knn,004 l1,0.6111111111111112,0.6111111111111112,0.004334449768066406,0,False,False,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.5925925925925926,0.5925925925925926,0.01649761199951172,0,True,False,True,False,True,True,False,True,True
6,glass,001 knn,012 relieff weighting,0.5185185185185185,0.5185185185185185,0.01649761199951172,0,0.09230769230769231,0.03076923076923077,0.19047619047619047,0.0461538461538461,0.06153846153846154,0.4769230769230769,0.0,1.0,0.5714285714285714
7,glass,001 knn,006 forward selection,0.5370370370370371,0.5370370370370371,3.194835662841797,0,False,False,False,True,False,False,True,False,False
8,glass,001 knn,007 backward selection,0.6111111111111112,0.6111111111111112,2.9084696769714355,0,True,True,True,True,True,True,False,True,False
9,glass,001 knn,008 stepwise selection,0.6111111111111112,0.6111111111111112,3.1561131477355957,0,False,False,True,True,True,True,False,False,False
10,glass,001 knn,009 bayesian selection,0.6481481481481481,0.6481481481481481,30.616933822631836,19,False,True,True,True,False,False,False,True,False
11,glass,001 knn,013 bayesian weighting,0.7592592592592593,0.7592592592592593,77.97648286819458,388,0.2919151242413854,0.9105926150799781,0.9628856264891745,0.320820270607141,0.13139484336439833,0.003550300118988329,0.4206803685209974,0.4983736058428972,0.05935728249416362
