,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.6481481481481481,0.6481481481481481,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.7777777777777778,0.7777777777777778,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.5555555555555556,0.5555555555555556,0.15595197677612305,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.5555555555555556,0.5555555555555556,0.15595197677612305,0,0.14318126306205317,0.10176302222504352,0.16542724982231355,0.15912573918873768,0.08808975628014183,0.09632071468603547,0.14435360813626735,0.07011924444701692,0.031619402152390536
4,glass,001 knn,004 l1,0.6296296296296297,0.6296296296296297,0.004155874252319336,0,False,True,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.5925925925925926,0.5925925925925926,0.034500837326049805,0,True,False,True,True,False,True,False,True,True
6,glass,001 knn,012 relieff weighting,0.46296296296296297,0.46296296296296297,0.034500837326049805,0,0.12765957446808507,0.04255319148936165,0.16981132075471697,0.08510638297872342,0.0,0.7872340425531915,0.06382978723404253,0.0,1.0
7,glass,001 knn,006 forward selection,0.6111111111111112,0.6111111111111112,3.1832852363586426,0,True,False,True,False,False,False,False,False,False
8,glass,001 knn,007 backward selection,0.46296296296296297,0.46296296296296297,2.821573495864868,0,True,True,True,True,False,True,True,True,False
9,glass,001 knn,008 stepwise selection,0.6111111111111112,0.6111111111111112,6.351201295852661,0,True,True,True,True,False,False,True,False,False
10,glass,001 knn,009 bayesian selection,0.6111111111111112,0.6111111111111112,30.595723390579224,148,True,False,True,True,True,False,True,True,False
11,glass,001 knn,013 bayesian weighting,0.7222222222222222,0.7222222222222222,77.99771547317505,76,0.9073727740105098,0.6700418989959342,0.9585028426610607,0.2241128614933246,0.2106482458279889,0.1955157144248036,0.9273569744329225,0.03314546901617326,0.16867081650131058
