,dataset,base,method,PM1,PM2,Time,TriesToOpt,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
0,fire,001 knn,000 all,2.3062022084485387,0.0180662682890107,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
1,fire,000 rf,000 all,2.352489690057237,-0.0016419946642667327,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
2,fire,001 knn,002 intercorrelation,2.3088965129309162,0.016919088546898386,0.00632023811340332,0,True,True,True,True,True,True,False,True,True,True,True,True
3,fire,001 knn,010 correlation weighting,2.3498525360639353,-0.0005191484315067996,0.00632023811340332,0,0.03288766103784632,0.010106873772426035,0.05183281672293023,0.015829555696477694,0.04667689292501631,0.05649665119672756,0.025106513607879286,0.02132374885310127,0.014999325591856396,0.03081296598157367,0.06628933357577353,0.03307795554114295
4,fire,001 knn,003 feature importance selection,2.438190415853713,-0.03813161087545147,0.25548458099365234,0,False,True,False,True,False,True,False,True,False,True,False,True
5,fire,001 knn,011 feature importance weighting,2.331373653458767,0.007348781834048301,0.25548458099365234,0,0.09868359051066998,0.06452511310225273,0.02637100021249794,0.055280017889048745,0.07836136699935788,0.10645289476742766,0.09916181643846379,0.07231033653085656,0.17210775310153553,0.126896483184911,0.09853870222175554,0.0013109250412226578
6,fire,001 knn,004 l1,-1.0,-1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False
7,fire,001 knn,005 relieff selection,2.331735406723679,0.007194754692771532,0.049471378326416016,0,True,False,False,True,True,True,True,True,True,True,True,False
8,fire,001 knn,012 relieff weighting,2.291845747584285,0.024178955692984117,0.049471378326416016,0,0.22589531680440772,0.8418079096045198,0.8022598870056497,0.4380165289256198,0.90633608815427,0.9504132231404959,0.9504132231404959,0.90633608815427,1.0,0.9228650137741047,0.6804407713498623,0.0
9,fire,001 knn,006 forward selection,2.371589157618474,-0.009774157311320808,2.800793170928955,0,False,False,True,False,False,False,False,False,False,False,False,False
10,fire,001 knn,007 backward selection,2.2641260383282673,0.03598144094427369,3.8265159130096436,0,True,True,True,True,True,False,True,True,False,True,True,True
11,fire,001 knn,008 stepwise selection,2.3006814144744627,0.020416909446629994,5.5408935546875,0,False,False,True,False,True,True,False,True,False,True,False,False
12,fire,001 knn,009 bayesian selection,2.2310195403381727,0.05007751066279398,32.684731006622314,168,False,False,True,False,True,True,False,True,False,False,True,False
13,fire,001 knn,013 bayesian weighting,2.1791646336594788,0.07215626934058983,83.60372591018677,322,0.671671398726659,0.5986576576147886,0.23612273178617313,0.4819025349538744,0.4786490880295181,0.0978054972849633,0.16728187749449813,0.4611888488060398,0.07599496621730341,0.22422416380390126,0.9633312867802128,0.48746711246577745
