,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,0.9736842105263158,0.9736842105263158,0.0,0,True,True,True,True
1,iris,000 rf,000 all,0.9736842105263158,0.9736842105263158,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9473684210526315,0.9473684210526315,0.13712453842163086,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,0.9736842105263158,0.9736842105263158,0.13712453842163086,0,0.11116672886649775,0.0362366395068599,0.41400601279037547,0.4385906188362669
4,iris,001 knn,004 l1,0.9736842105263158,0.9736842105263158,0.012070894241333008,0,False,True,True,True
5,iris,001 knn,005 relieff selection,0.9736842105263158,0.9736842105263158,0.03336739540100098,0,True,True,False,True
6,iris,001 knn,012 relieff weighting,0.9736842105263158,0.9736842105263158,0.03336739540100098,0,0.03053435114503822,0.16793893129770987,0.0,0.40458015267175573
7,iris,001 knn,006 forward selection,0.9736842105263158,0.9736842105263158,0.9424459934234619,0,False,False,False,True
8,iris,001 knn,007 backward selection,0.9736842105263158,0.9736842105263158,0.8372955322265625,0,True,False,True,True
9,iris,001 knn,008 stepwise selection,0.9736842105263158,0.9736842105263158,1.3935344219207764,0,False,True,False,True
10,iris,001 knn,009 bayesian selection,0.9736842105263158,0.9736842105263158,27.880980730056763,3,False,False,False,True
11,iris,001 knn,013 bayesian weighting,0.9736842105263158,0.9736842105263158,70.51710486412048,0,0.2244448161687871,0.02446308194690494,0.6895624155449042,0.7132231746409737
