,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.8333333333333334,0.8333333333333334,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.8452380952380952,0.8452380952380952,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.8214285714285714,0.8214285714285714,0.1522674560546875,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.8333333333333334,0.8333333333333334,0.1522674560546875,0,0.22222014676141605,0.15799220865179545,0.015403913675738297,0.0032782787034144815,0.13270770876067547,0.2717754463999263,0.1966222970470339
4,ecoli,001 knn,004 l1,0.8333333333333334,0.8333333333333334,0.00897669792175293,0,True,True,False,False,True,True,True
5,ecoli,001 knn,005 relieff selection,0.7857142857142857,0.7857142857142857,0.04113125801086426,0,False,True,True,True,True,True,False
6,ecoli,001 knn,012 relieff weighting,0.7857142857142857,0.7857142857142857,0.04113125801086426,0,0.0,0.02947368421052632,1.0,0.9888682745825603,0.025263157894736876,0.025263157894736876,0.0
7,ecoli,001 knn,006 forward selection,0.6428571428571429,0.6428571428571429,4.216771364212036,0,True,False,True,False,False,True,True
8,ecoli,001 knn,007 backward selection,0.7857142857142857,0.7857142857142857,1.562434196472168,0,True,True,False,True,True,True,True
9,ecoli,001 knn,008 stepwise selection,0.6428571428571429,0.6428571428571429,1.7071518898010254,0,True,False,True,False,False,True,True
10,ecoli,001 knn,009 bayesian selection,0.7857142857142857,0.7857142857142857,30.112656354904175,3,False,True,True,True,True,True,True
11,ecoli,001 knn,013 bayesian weighting,0.8095238095238095,0.8095238095238095,75.84200477600098,76,0.48098903540405963,0.9223690029186863,0.5923122254320858,0.6864552341770924,0.9577823254029505,0.2969720456343647,0.5059505426722873
