,dataset,base,method,PM1,PM2,Time,TriesToOpt,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
0,student,001 knn,000 all,18.05053303114245,0.06962180656407957,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,student,000 rf,000 all,15.307563829287911,0.21100260270283355,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,student,001 knn,002 intercorrelation,18.05053303114245,0.06962180656407957,0.03998994827270508,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,student,001 knn,010 correlation weighting,18.20800805842357,0.061505074989432695,0.03998994827270508,0,0.03550607172576056,0.09178373405725562,0.1496334713811501,0.11027084073800457,0.08860018292553336,0.06585159056356837,0.24427638225042736,0.15911753442780463,0.11713989720324175,0.1089624628195987,0.03487162907269692,0.05117485781955404,0.14199495980278368,0.11581626622495333,0.36903667830598363,0.04421026523867559,0.004388829540222155,0.11540428845085006,0.019801945457697857,0.06355430773225919,0.17919448249813305,,0.14758096873354595,0.03902062824777964,0.043135558275719355,0.15609715836167115,0.045274775953303543,0.062007888631193595,0.11554374348667631,0.030913926108238097
4,student,001 knn,003 feature importance selection,19.636503539550635,-0.012123833518110416,0.21365857124328613,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
5,student,001 knn,011 feature importance weighting,17.259688295699373,0.11038429789773685,0.21365857124328613,0,0.007445731182052091,0.014536236615098995,0.04175187937556466,0.008975957795761097,0.02894102793819116,0.01223699647359882,0.0377751205805889,0.03717724884157434,0.006811825690224414,0.014565944234226268,0.005780587416619564,0.010329572023927178,0.040598243682703865,0.03694718832135077,0.1504809275643845,0.017478405187820924,0.011846619701719092,0.012658390585924457,0.021566728663078856,0.019786348960085284,0.005988884159119809,0.0,0.016562271789556743,0.029571560419487865,0.04261074232621501,0.06250635253869154,0.010944228360787301,0.04029564405990821,0.04912571437259055,0.20470362113914786
6,student,001 knn,004 l1,17.552645569266073,0.09528440813466732,0.017025470733642578,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,student,001 knn,005 relieff selection,17.431209602954752,0.10154357924944524,0.03157329559326172,0,False,True,True,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True
8,student,001 knn,012 relieff weighting,17.3989759086712,0.10320499978498043,0.03157329559326172,0,0.11818181818181817,0.42954545454545456,0.4166666666666667,0.3136363636363636,0.42727272727272725,0.1431818181818182,0.13271604938271606,0.24691358024691357,0.17045454545454541,0.05681818181818177,0.42272727272727273,0.45227272727272727,0.6818181818181819,0.009259259259259259,0.48863636363636365,0.12727272727272732,0.5363636363636364,0.5068181818181818,0.5590909090909091,0.3931818181818182,0.036363636363636376,0.0,0.4568181818181818,0.11728395061728394,0.4104938271604938,0.4660493827160494,0.6795454545454546,0.36728395061728397,0.42901234567901236,1.0
9,student,001 knn,006 forward selection,18.148017571840285,0.06459716320834585,20.82498526573181,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10,student,001 knn,007 backward selection,17.3989759086712,0.10320499978498043,10.100080728530884,0,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,student,001 knn,008 stepwise selection,17.598365930775905,0.09292784463200676,24.350136518478394,0,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,True
12,student,001 knn,009 bayesian selection,16.202579814768182,0.16487081511347268,42.223976850509644,38,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True
13,student,001 knn,013 bayesian weighting,14.77766585522818,0.23831512133928967,110.99310564994812,497,0.46974905903499264,0.9047466777522053,0.49379697762241875,0.7602862266205854,0.6845554508977713,0.7337008786487805,0.4106085847365983,0.31240582090226693,0.33801984162244947,0.7694076819234223,0.20702960867163708,0.5218543393116176,0.12131431158652137,0.8436168279589514,0.07016232055253768,0.8243760111718063,0.16366505442367718,0.6004154481485429,0.5882223761231615,0.6370728563693274,0.10218629278337159,0.6303636785869755,0.7025623769957101,0.09889604294776802,0.8905022056832791,0.09864891205571805,0.8783281306093292,0.4406797713399281,0.2550124932338416,0.911159413856797
