,dataset,base,method,PM1,PM2,Time,TriesToOpt,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
0,breast_cancer,001 knn,000 all,0.972027972027972,0.972027972027972,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,breast_cancer,000 rf,000 all,0.986013986013986,0.986013986013986,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,breast_cancer,001 knn,003 feature importance selection,0.965034965034965,0.965034965034965,0.19085288047790527,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,breast_cancer,001 knn,011 feature importance weighting,0.972027972027972,0.972027972027972,0.19085288047790527,0,0.03279255542726031,0.0140996868931283,0.05324727860136994,0.029940105490528203,0.0069103366732251115,0.010658455563986013,0.054235469222897695,0.12817997918297175,0.005118306448019841,0.004803308710825139,0.021461000440480264,0.004892510876590434,0.022313966422903578,0.03422451554289813,0.003619958423347081,0.0068957695525331915,0.005720344290654771,0.0066688873681545096,0.002969486560043876,0.005074527385011544,0.09233834844036197,0.0211797822572241,0.11432862676579905,0.0874279128956043,0.016103153444740947,0.016446473888709862,0.05324049360508169,0.1298137241210711,0.008039858695062126,0.00725517680951534
4,breast_cancer,001 knn,004 l1,0.972027972027972,0.972027972027972,0.008241415023803711,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,False
5,breast_cancer,001 knn,005 relieff selection,0.972027972027972,0.972027972027972,0.051696062088012695,0,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False
6,breast_cancer,001 knn,012 relieff weighting,0.9440559440559441,0.9440559440559441,0.051696062088012695,0,0.0030007501875468634,0.004501125281320295,0.0075018754688672695,0.0030007501875468634,0.0015003750937734317,0.0030007501875468634,0.009002250562640701,0.009002250562640701,0.0015003750937734317,0.0,0.0015003750937734317,0.004501125281320295,0.0030007501875468634,0.0015003750937734317,0.004501125281320295,0.0015003750937734317,0.009002250562640701,0.012003000750187565,0.0030007501875468634,0.0015003750937734317,0.004501125281320295,0.0030007501875468634,0.004501125281320295,0.0030007501875468634,0.013503375843960996,0.0015003750937734317,0.009002250562640701,0.015003750937734428,0.0030007501875468634,0.0015003750937734317
7,breast_cancer,001 knn,006 forward selection,0.9440559440559441,0.9440559440559441,14.826990842819214,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,breast_cancer,001 knn,007 backward selection,0.9440559440559441,0.9440559440559441,7.278306722640991,0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,breast_cancer,001 knn,008 stepwise selection,0.958041958041958,0.958041958041958,7.457220792770386,0,False,True,True,False,False,True,False,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True
10,breast_cancer,001 knn,009 bayesian selection,0.972027972027972,0.972027972027972,42.796775102615356,10,True,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,False,False,True
11,breast_cancer,001 knn,013 bayesian weighting,0.9790209790209791,0.9790209790209791,112.09466361999512,32,0.7017772335564956,0.6310128670370846,0.4114846391257649,0.7123426734096614,0.15983206362036237,0.061112699663314285,0.21068059633738012,0.02144225286379261,0.6467205304907883,0.640478025461858,0.5561862192766239,0.578260978642043,0.18499314106363365,0.6587646445059873,0.046039417750791234,0.5874762362282959,0.5538891652825475,0.9909017327545179,0.912868620050206,0.8975342438388866,0.6065523173894928,0.4172303118683963,0.04835561925403428,0.08792943520616328,0.7506740760212686,0.5302254232217352,0.7633437563236765,0.1138571277054628,0.35162197949871454,0.9109320133408064
