,dataset,base,method,PM1,PM2,Time,TriesToOpt,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
0,breast_cancer,001 knn,000 all,0.951048951048951,0.951048951048951,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,breast_cancer,000 rf,000 all,0.972027972027972,0.972027972027972,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,breast_cancer,001 knn,003 feature importance selection,0.9440559440559441,0.9440559440559441,0.15924811363220215,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,breast_cancer,001 knn,011 feature importance weighting,0.958041958041958,0.958041958041958,0.15924811363220215,0,0.04573554277691236,0.02505725672088944,0.029227465930187553,0.05803036591719644,0.004138239350497484,0.009698153473694592,0.05248109608514621,0.12006146534643683,0.003771413307107219,0.00399898020620732,0.01995439242582265,0.003936984066180285,0.010364382124179533,0.03459426217780526,0.004010655716928108,0.005443436623101489,0.0045769245860838425,0.005948642945082907,0.004514541545245213,0.006009178699930759,0.07949183949988058,0.020851648236964893,0.109760283411165,0.12114741242938173,0.014389941378905324,0.016441748630422397,0.038473970157676694,0.13320275202723234,0.005611873580589644,0.00907515062314572
4,breast_cancer,001 knn,004 l1,0.951048951048951,0.951048951048951,0.008648157119750977,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False
5,breast_cancer,001 knn,005 relieff selection,0.958041958041958,0.958041958041958,0.05876755714416504,0,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,True,False,True,True,False,False
6,breast_cancer,001 knn,012 relieff weighting,0.9440559440559441,0.9440559440559441,0.05876755714416504,0,0.005921539600296066,0.0,0.001480384900074072,0.002960769800148033,0.010362694300518172,0.0,0.004441154700222105,0.005921539600296066,0.005921539600296066,0.001480384900074072,0.001480384900074072,0.002960769800148033,0.001480384900074072,0.0,0.0,0.0,0.004441154700222105,0.004441154700222105,0.0,0.002960769800148033,0.0,0.001480384900074072,0.001480384900074072,0.001480384900074072,0.005921539600296066,0.0,0.004441154700222105,0.010362694300518172,0.0,0.0
7,breast_cancer,001 knn,006 forward selection,0.8881118881118881,0.8881118881118881,14.752129077911377,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,breast_cancer,001 knn,007 backward selection,0.9440559440559441,0.9440559440559441,7.335578918457031,0,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,breast_cancer,001 knn,008 stepwise selection,0.951048951048951,0.951048951048951,14.846163988113403,0,True,True,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False
10,breast_cancer,001 knn,009 bayesian selection,0.965034965034965,0.965034965034965,43.292909383773804,4,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True
11,breast_cancer,001 knn,013 bayesian weighting,0.972027972027972,0.972027972027972,111.88976788520813,457,0.7396064056487752,0.9439127074847777,0.10956160084687505,0.7173015150792751,0.7339389309849205,0.08689616960960227,0.08932653442697516,0.026907487585070496,0.15438255111182336,0.3435425639026632,0.28530608373808536,0.6164646381596349,0.8462729064687291,0.43087904225285834,0.15055044589642053,0.09612796434243294,0.08144392166727005,0.829685249313367,0.5099725244954004,0.3924992954339401,0.9262409041471074,0.3796716654310524,0.7922866782739484,0.035217667063169644,0.822569417403774,0.39287942747028615,0.22764677705242303,0.16700839905640733,0.3759145496588365,0.5783211851800802
