,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
0,ionosphere,001 knn,000 all,0.7727272727272727,0.7727272727272727,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,ionosphere,000 rf,000 all,0.9318181818181818,0.9318181818181818,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,ionosphere,001 knn,003 feature importance selection,0.6363636363636364,0.6363636363636364,0.16961455345153809,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,ionosphere,001 knn,011 feature importance weighting,0.8068181818181818,0.8068181818181818,0.16961455345153809,0,0.019483061773901064,0.0,0.1294450857032777,0.03592961118971519,0.1436649197202052,0.051733533327337315,0.07248500017923187,0.030714468504651603,0.010864681674490824,0.020831050595952368,0.013455066327400077,0.019400317270852927,0.006830466683935211,0.040002092809781516,0.006139038214622699,0.021713514794475634,0.0061715588794662695,0.025901845518914685,0.006347751455744813,0.01246446103778784,0.023308598176223667,0.014951699106012172,0.013725595013663277,0.02567123131049035,0.01890741595489018,0.015103813306543085,0.0633560893040844,0.025333239610283748,0.04358895715425957,0.006994887900153265,0.018970273226228056,0.012924490325674406,0.027342009181449273,0.01624417476829992
4,ionosphere,001 knn,004 l1,0.8295454545454546,0.8295454545454547,0.0035247802734375,0,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,ionosphere,001 knn,005 relieff selection,0.8068181818181818,0.8068181818181818,0.026047945022583008,0,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,True,True,True,True
6,ionosphere,001 knn,012 relieff weighting,0.875,0.875,0.026047945022583008,0,0.9941775836972343,1.0,0.12168486739469575,0.0249609984399376,0.21528861154446177,0.08736349453978154,0.16224648985959433,0.06240249609984394,0.13104524180967236,0.0748829953198128,0.06864274570982842,0.06864274570982842,0.08112324492979717,0.0,0.14352574102964122,0.06240249609984394,0.06552262090483618,0.040561622464898583,0.07800312012480504,0.08736349453978154,0.11232449297971914,0.05928237129485181,0.05616224648985957,0.03120124804992197,0.03120124804992197,0.03120124804992197,0.09672386895475815,0.02808112324492984,0.03432137285491421,0.03432137285491421,0.05304212168486744,0.06240249609984394,0.07176287051482055,0.08112324492979717
7,ionosphere,001 knn,006 forward selection,0.8977272727272727,0.8977272727272727,16.318435192108154,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,ionosphere,001 knn,007 backward selection,0.875,0.875,12.01254391670227,0,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,ionosphere,001 knn,008 stepwise selection,0.875,0.875,12.263232946395874,0,True,False,True,True,True,False,True,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False
10,ionosphere,001 knn,009 bayesian selection,0.875,0.875,43.987406730651855,0,True,False,False,False,True,False,False,True,False,True,True,True,False,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,True,True,True,True,False,False
11,ionosphere,001 knn,013 bayesian weighting,0.8977272727272727,0.8977272727272727,117.58292269706726,107,0.7287815206661143,0.9780378310124764,0.49319415491316504,0.13216443687375634,0.9313681169400123,0.22287656277168683,0.4476508833200985,0.11918706479252407,0.3656596446905322,0.1535403160263708,0.841181203328786,0.06875919099640501,0.4321105666101941,0.4496590018023018,0.877682474822576,0.2008337275018187,0.4925700776879773,0.015505199684804086,0.6861129285490171,0.627820985295821,0.6466606706074625,0.07692528815027197,0.461963790664164,0.47791930472748345,0.18068620153731874,0.4169661119644639,0.05247261300069639,0.752716732055485,0.25542452707458285,0.972775165061105,0.3123617744818541,0.5988683771339259,0.17690507425106777,0.7828674084383228
