,dataset,base,method,PM1,PM2,Time,TriesToOpt,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
0,machine,001 knn,000 all,4211.792830188679,0.7640518923152512,0.0,0,True,True,True,True,True,True
1,machine,000 rf,000 all,2333.5974080967285,0.8692699487515412,0.0,0,True,True,True,True,True,True
2,machine,001 knn,002 intercorrelation,4211.792830188679,0.7640518923152512,0.016133546829223633,0,True,True,True,True,True,True
3,machine,001 knn,010 correlation weighting,4186.618113207547,0.7654622007213584,0.016133546829223633,0,0.2918428104607868,0.784074394984173,0.884099013312494,0.7098049885406926,0.5970096939159196,0.6640189788289714
4,machine,001 knn,003 feature importance selection,3503.0798113207557,0.8037545800863259,0.12773871421813965,0,False,True,False,True,True,False
5,machine,001 knn,011 feature importance weighting,4034.8215094339625,0.7739659716468017,0.12773871421813965,0,0.011460465217426897,0.048986731320307536,0.743241100080053,0.05356606180086834,0.07097844828666909,0.07176719329467521
6,machine,001 knn,004 l1,4034.8215094339625,0.7739659716468017,0.006859540939331055,0,True,True,True,True,True,True
7,machine,001 knn,005 relieff selection,4823.056603773583,0.729808391628363,0.04257345199584961,0,True,True,False,True,False,True
8,machine,001 knn,012 relieff weighting,5025.013018867926,0.7184946267074585,0.04257345199584961,0,1.0,0.2852852852852853,0.10510510510510511,0.2912912912912913,0.0,0.9819819819819819
9,machine,001 knn,006 forward selection,7774.1032075471685,0.564488327246495,2.801910161972046,0,True,False,False,False,True,False
10,machine,001 knn,007 backward selection,5010.823584905662,0.7192895304996195,1.2820186614990234,0,False,True,True,True,True,True
11,machine,001 knn,008 stepwise selection,5010.823584905662,0.7192895304996195,2.0772948265075684,0,False,True,True,True,True,True
12,machine,001 knn,009 bayesian selection,3885.812641509433,0.7823135713110198,29.161443948745728,6,False,True,False,True,False,True
13,machine,001 knn,013 bayesian weighting,1790.59679245283,0.8996892910360219,73.91039824485779,349,0.37961256244652536,0.059815036362691754,0.1058715512063525,0.8993400929283953,0.9233684609566546,0.045131865132719745
