,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.6481481481481481,0.6481481481481481,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.7777777777777778,0.7777777777777778,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.6296296296296297,0.6296296296296297,0.15143108367919922,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.6851851851851852,0.6851851851851852,0.15143108367919922,0,0.1409476185404781,0.11432231929779796,0.1491459135749104,0.15999854558515805,0.08072567663677453,0.10245301583171293,0.13279819046158503,0.07487459764389143,0.044734122427691723
4,glass,001 knn,004 l1,0.7222222222222222,0.7222222222222222,0.0038666725158691406,0,False,False,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.6666666666666666,0.6666666666666666,0.016164064407348633,0,True,False,True,False,False,True,True,True,True
6,glass,001 knn,012 relieff weighting,0.5740740740740741,0.5740740740740741,0.016164064407348633,0,0.03703703703703709,0.0,1.0,0.0,0.0,0.8148148148148149,0.0,0.3333333333333333,1.0
7,glass,001 knn,006 forward selection,0.46296296296296297,0.46296296296296297,4.274810791015625,0,False,False,False,True,False,False,False,True,False
8,glass,001 knn,007 backward selection,0.5740740740740741,0.5740740740740741,2.036372184753418,0,True,True,True,True,True,True,False,True,True
9,glass,001 knn,008 stepwise selection,0.5925925925925926,0.5925925925925926,2.133620500564575,0,True,False,True,True,False,False,False,False,False
10,glass,001 knn,009 bayesian selection,0.6666666666666666,0.6666666666666666,30.662160634994507,4,True,False,True,True,False,True,False,True,False
11,glass,001 knn,013 bayesian weighting,0.7962962962962963,0.7962962962962963,77.81926441192627,399,0.9874484566920323,0.9745820138725578,0.3418215884299698,0.04376257478866799,0.9548116772521655,0.1437401281601861,0.4128691870335476,0.4324698498727458,0.036983305155926904
