,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,0.9473684210526315,0.9473684210526315,0.0,0,True,True,True,True
1,iris,000 rf,000 all,0.9473684210526315,0.9473684210526315,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9473684210526315,0.9473684210526315,0.13762164115905762,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,0.9473684210526315,0.9473684210526315,0.13762164115905762,0,0.0872530727009447,0.024679041883361133,0.447611198996,0.44045668641969427
4,iris,001 knn,004 l1,0.9473684210526315,0.9473684210526315,0.0036704540252685547,0,False,True,True,True
5,iris,001 knn,005 relieff selection,0.9473684210526315,0.9473684210526315,0.032731056213378906,0,True,True,False,True
6,iris,001 knn,012 relieff weighting,0.9473684210526315,0.9473684210526315,0.032731056213378906,0,0.0234375,0.234375,0.0,0.5546875
7,iris,001 knn,006 forward selection,0.2631578947368421,0.2631578947368421,0.9444797039031982,0,False,False,True,False
8,iris,001 knn,007 backward selection,0.9473684210526315,0.9473684210526315,0.8364362716674805,0,True,False,True,True
9,iris,001 knn,008 stepwise selection,0.9473684210526315,0.9473684210526315,1.4298768043518066,0,True,False,False,True
10,iris,001 knn,009 bayesian selection,0.9473684210526315,0.9473684210526315,28.140724658966064,0,False,False,True,True
11,iris,001 knn,013 bayesian weighting,0.9473684210526315,0.9473684210526315,70.50712418556213,0,0.9252008380788832,0.08059267584932683,0.7187800981273048,0.2448432995004679
