,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,0.9736842105263158,0.9736842105263158,0.0,0,True,True,True,True
1,iris,000 rf,000 all,0.9736842105263158,0.9736842105263158,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9736842105263158,0.9736842105263158,0.13703346252441406,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,0.9736842105263158,0.9736842105263158,0.13703346252441406,0,0.10149691490510887,0.022445554001215375,0.45324317550259624,0.4228143555910795
4,iris,001 knn,004 l1,0.9736842105263158,0.9736842105263158,0.003814220428466797,0,False,True,True,True
5,iris,001 knn,005 relieff selection,1.0,1.0,0.012072086334228516,0,True,True,False,True
6,iris,001 knn,012 relieff weighting,1.0,1.0,0.012072086334228516,0,0.03418803418803418,0.4017094017094017,0.0,0.5641025641025641
7,iris,001 knn,006 forward selection,0.3684210526315789,0.3684210526315789,0.9314415454864502,0,False,False,True,False
8,iris,001 knn,007 backward selection,1.0,1.0,0.8237345218658447,0,False,True,True,True
9,iris,001 knn,008 stepwise selection,1.0,1.0,0.8336453437805176,0,False,False,False,True
10,iris,001 knn,009 bayesian selection,1.0,1.0,28.38621759414673,1,True,True,False,True
11,iris,001 knn,013 bayesian weighting,1.0,1.0,70.62038683891296,0,0.3321628835803808,0.815606533306296,0.8640896397369662,0.5947567629173617
