,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
0,australian,001 knn,000 all,0.8786127167630058,0.8786127167630058,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,australian,000 rf,000 all,0.9017341040462428,0.9017341040462428,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,australian,001 knn,003 feature importance selection,0.884393063583815,0.884393063583815,0.1429452896118164,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,australian,001 knn,011 feature importance weighting,0.9075144508670521,0.9075144508670521,0.1429452896118164,0,0.011858191702624112,0.07789287201581493,0.07958422741379437,0.016769753208322358,0.06916900717028478,0.029493068540654494,0.09585734595634018,0.2917269777494255,0.06039890320553313,0.09447452800115583,0.01205583694469727,0.010730518030559843,0.07127914267871799,0.07870962738207539
4,australian,001 knn,004 l1,0.8901734104046243,0.8901734104046243,0.012042760848999023,0,False,False,False,False,True,False,False,True,True,True,False,False,False,True
5,australian,001 knn,005 relieff selection,0.8786127167630058,0.8786127167630058,0.05775189399719238,0,True,False,False,True,True,True,False,True,True,True,True,True,False,True
6,australian,001 knn,012 relieff weighting,0.8786127167630058,0.8786127167630058,0.05775189399719238,0,0.8069353327085286,0.0,0.029498525073746285,0.9044048734770385,0.5054080629301868,0.3851921274601687,0.15142576204523106,1.0,0.8687910028116214,0.13214620431115276,0.8144329896907216,0.9475164011246485,0.1730580137659784,0.37364798426745327
7,australian,001 knn,006 forward selection,0.8786127167630058,0.8786127167630058,3.519226312637329,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,australian,001 knn,007 backward selection,0.8786127167630058,0.8786127167630058,4.867871046066284,0,True,True,True,False,True,True,True,True,False,True,True,True,True,True
9,australian,001 knn,008 stepwise selection,0.8786127167630058,0.8786127167630058,8.697669506072998,0,True,False,True,False,True,False,True,True,False,True,False,False,False,True
10,australian,001 knn,009 bayesian selection,0.9075144508670521,0.9075144508670521,34.03408885002136,48,False,False,False,True,True,False,True,True,True,False,True,True,True,True
11,australian,001 knn,013 bayesian weighting,0.9248554913294798,0.9248554913294798,89.11020183563232,152,0.5732539256685883,0.02760729672738197,0.3791047182244469,0.1020878463509061,0.7255834499962442,0.07882692696339624,0.8537930516383039,0.7752731982069351,0.34075854042928094,0.07532468129332846,0.6874752258543511,0.7622044978308343,0.8085678853856735,0.6841196382227183
