,dataset,base,method,PM1,PM2,Time,TriesToOpt,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
0,fire,001 knn,000 all,1.6941035464747904,-0.019980376487264362,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
1,fire,000 rf,000 all,1.8231952590178195,-0.09770349667966038,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True
2,fire,001 knn,002 intercorrelation,1.666738766257694,-0.0035046782417789135,0.024420976638793945,0,True,True,True,True,True,True,False,True,True,True,True,True
3,fire,001 knn,010 correlation weighting,1.6497125165823858,0.0067464310190004095,0.024420976638793945,0,0.07461417815094175,0.05461694703647199,0.10629883268870227,0.05321800920448267,0.06590070073206827,0.05595382022392982,0.05695738442592393,0.0182060152929789,0.05976640340332759,0.049060969024949164,0.08947232169059113,0.024705366448992253
4,fire,001 knn,003 feature importance selection,1.8185735635918647,-0.09492088126610776,0.24436211585998535,0,False,True,False,True,False,True,False,True,False,True,False,True
5,fire,001 knn,011 feature importance weighting,1.6639602842776153,-0.0018318188100159283,0.24436211585998535,0,0.08824520766005636,0.06308605282732545,0.026233711505134975,0.05149080126176212,0.06887633917135769,0.10061791496522517,0.11247343358475306,0.07724331004776233,0.18018421526054126,0.12409493576722445,0.10562443680091434,0.0018296411479428773
6,fire,001 knn,004 l1,-1.0,-1.0,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False
7,fire,001 knn,005 relieff selection,1.6601049698645738,0.000489376405396813,0.0489349365234375,0,True,False,False,True,True,True,True,True,True,True,True,False
8,fire,001 knn,012 relieff weighting,1.6511213034959171,0.005898233156807153,0.0489349365234375,0,0.1486146095717884,0.858560794044665,0.6674937965260546,0.3249370277078086,0.7858942065491183,0.8639798488664987,0.8690176322418136,0.818639798488665,1.0,0.8866498740554156,0.7002518891687658,0.0
9,fire,001 knn,006 forward selection,1.6906191775389734,-0.01788251892338022,4.16190505027771,0,True,True,False,False,False,False,False,False,False,False,False,False
10,fire,001 knn,007 backward selection,1.742516753237015,-0.04912884321649358,3.8118491172790527,0,True,True,True,True,True,False,True,True,True,True,False,True
11,fire,001 knn,008 stepwise selection,1.6944434532281276,-0.020185026444441423,5.566284894943237,0,False,True,False,False,True,False,True,False,False,False,False,False
12,fire,001 knn,009 bayesian selection,1.5467161665828753,0.06875813984749513,32.57420325279236,89,False,False,False,True,False,True,False,False,True,True,True,False
13,fire,001 knn,013 bayesian weighting,1.5081619646288884,0.09197072889261149,83.15270233154297,319,0.017969567633821883,0.0038386324882285043,0.5358314965814677,0.9722187093279975,0.03549943374261106,0.6735669769906633,0.46106945324985016,0.818881112720324,0.7754755609930617,0.47357558328198424,0.4273908829989146,0.6756956022600722
