,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8
0,ecoli,001 knn,000 all,0.9047619047619048,0.9047619047619048,0.0,0,True,True,True,True,True,True,True
1,ecoli,000 rf,000 all,0.9047619047619048,0.9047619047619048,0.0,0,True,True,True,True,True,True,True
2,ecoli,001 knn,003 feature importance selection,0.8571428571428571,0.8571428571428571,0.15455865859985352,0,True,False,True,False,True,False,True
3,ecoli,001 knn,011 feature importance weighting,0.9285714285714286,0.9285714285714286,0.15455865859985352,0,0.2157804041225447,0.18433964008890932,0.026155444129695737,0.0,0.1348971714455086,0.2677703539279873,0.17105698628535435
4,ecoli,001 knn,004 l1,0.9285714285714286,0.9285714285714286,0.0033516883850097656,0,True,True,True,False,True,True,True
5,ecoli,001 knn,005 relieff selection,0.8214285714285714,0.8214285714285714,0.04625749588012695,0,False,True,True,True,True,True,False
6,ecoli,001 knn,012 relieff weighting,0.8095238095238095,0.8095238095238095,0.04625749588012695,0,0.0,0.02257336343115124,1.0,1.0,0.02708803611738153,0.04966139954853277,0.009029345372460473
7,ecoli,001 knn,006 forward selection,0.7380952380952381,0.7380952380952381,4.16521692276001,0,True,False,False,False,True,True,False
8,ecoli,001 knn,007 backward selection,0.8095238095238095,0.8095238095238095,1.6026973724365234,0,True,True,True,False,True,True,True
9,ecoli,001 knn,008 stepwise selection,0.7380952380952381,0.7380952380952381,1.6727001667022705,0,True,False,True,False,True,True,False
10,ecoli,001 knn,009 bayesian selection,0.8333333333333334,0.8333333333333334,29.85568332672119,5,True,True,False,False,True,True,False
11,ecoli,001 knn,013 bayesian weighting,0.8571428571428571,0.8571428571428571,76.06511116027832,488,0.28120794988518283,0.743605446026232,0.0061790366760523475,0.33192767273046053,0.8140623208301946,0.7785857744815483,0.9906144712196181
