,dataset,base,method,PM1,PM2,Time,TriesToOpt,x0_high,x0_low,x0_med,x0_vhigh,x1_high,x1_low,x1_med,x1_vhigh,x2_2,x2_3,x2_4,x2_5more,x3_2,x3_4,x3_more,x4_big,x4_med,x4_small,x5_high,x5_low,x5_med
0,car,001 knn,000 all,0.7337962962962963,0.7337962962962963,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,car,000 rf,000 all,0.9629629629629629,0.9629629629629629,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,car,001 knn,003 feature importance selection,0.7152777777777778,0.7152777777777778,0.17198395729064941,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
3,car,001 knn,011 feature importance weighting,0.8194444444444444,0.8194444444444444,0.17198395729064941,0,0.03577897520154675,0.04801194895530498,0.038942108737697136,0.04482998769331616,0.03555883012406056,0.03851034114650244,0.03156912875240891,0.047968311685673816,0.02877692204584162,0.016301284598655357,0.017001628385637825,0.01718615024246762,0.12547892597835766,0.060569039070209774,0.04245976443363161,0.032531393567652084,0.02197443959433852,0.04182603779120783,0.08106637949074659,0.14077541011036945,0.05288299239437311
4,car,001 knn,004 l1,0.8101851851851852,0.8101851851851852,0.015288114547729492,0,False,True,True,True,False,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,False
5,car,001 knn,005 relieff selection,0.7754629629629629,0.7754629629629629,0.12504363059997559,0,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True
6,car,001 knn,012 relieff weighting,0.7939814814814815,0.7939814814814815,0.12504363059997559,0,0.8052173913043478,1.0,0.8660869565217392,0.9008695652173913,0.908695652173913,0.8608695652173913,0.92,0.9260869565217391,0.7747826086956522,0.7721739130434783,0.9756521739130435,0.7452173913043478,0.9834782608695652,0.7426086956521739,0.72,0.5495652173913044,0.52,0.6060869565217392,0.9269565217391305,0.98,0.7878260869565218
7,car,001 knn,006 forward selection,0.6805555555555556,0.6805555555555556,5.678275108337402,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,car,001 knn,007 backward selection,0.8055555555555556,0.8055555555555556,5.944973468780518,0,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,car,001 knn,008 stepwise selection,0.7800925925925926,0.7800925925925926,24.06188726425171,0,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True
10,car,001 knn,009 bayesian selection,0.8263888888888888,0.8263888888888888,40.38266158103943,45,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,True,False,False,False,True,True
11,car,001 knn,013 bayesian weighting,0.9097222222222222,0.9097222222222222,109.31203317642212,415,0.8137784015348402,0.1978228706403981,0.01750840722952019,0.7533859609463446,0.7917114165484169,0.20234601217758627,0.316614543655811,0.9746865030816042,0.534209967020651,0.0599228080503003,0.39790311213917173,0.6430752871299676,0.37054096896279276,0.3254759842891335,0.32815284319502674,0.4572157277095835,0.5299342502096754,0.6670068934424477,0.17073070776262247,0.10524196757975969,0.28558664060650124
