,dataset,base,method,PM1,PM2,Time,TriesToOpt,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
0,iris,001 knn,000 all,0.9473684210526315,0.9473684210526315,0.0,0,True,True,True,True
1,iris,000 rf,000 all,0.9736842105263158,0.9736842105263158,0.0,0,True,True,True,True
2,iris,001 knn,003 feature importance selection,0.9736842105263158,0.9736842105263158,0.1407179832458496,0,False,True,False,True
3,iris,001 knn,011 feature importance weighting,1.0,1.0,0.1407179832458496,0,0.107617226272271,0.04307128050089041,0.4363798803713842,0.4129316128554544
4,iris,001 knn,004 l1,1.0,1.0,0.0038268566131591797,0,False,True,True,True
5,iris,001 knn,005 relieff selection,0.9736842105263158,0.9736842105263158,0.034201622009277344,0,True,True,False,True
6,iris,001 knn,012 relieff weighting,0.9736842105263158,0.9736842105263158,0.034201622009277344,0,0.10655737704918034,0.2786885245901639,0.0,0.4672131147540983
7,iris,001 knn,006 forward selection,0.9736842105263158,0.9736842105263158,0.944772481918335,0,False,False,False,True
8,iris,001 knn,007 backward selection,0.9736842105263158,0.9736842105263158,0.8113374710083008,0,False,True,True,True
9,iris,001 knn,008 stepwise selection,0.9736842105263158,0.9736842105263158,1.4185030460357666,0,True,False,False,True
10,iris,001 knn,009 bayesian selection,0.9736842105263158,0.9736842105263158,27.823146104812622,1,True,True,True,True
11,iris,001 knn,013 bayesian weighting,0.9736842105263158,0.9736842105263158,71.03493189811707,0,0.194228856003537,0.538898109010667,0.33778411542488707,0.8994638619564479
