,dataset,base,method,PM1,PM2,Time,TriesToOpt,x0_high,x0_low,x0_med,x0_vhigh,x1_high,x1_low,x1_med,x1_vhigh,x2_2,x2_3,x2_4,x2_5more,x3_2,x3_4,x3_more,x4_big,x4_med,x4_small,x5_high,x5_low,x5_med
0,car,001 knn,000 all,0.75,0.75,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,car,000 rf,000 all,0.9537037037037037,0.9537037037037037,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,car,001 knn,003 feature importance selection,0.7430555555555556,0.7430555555555556,0.17274999618530273,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
3,car,001 knn,011 feature importance weighting,0.8541666666666666,0.8541666666666666,0.17274999618530273,0,0.03725226917807904,0.05141669944999034,0.04056872909391994,0.05147809242059489,0.03683877109607524,0.039131465882212266,0.036179977558848976,0.052814900425727195,0.028356673885178423,0.015433096306541575,0.016960171265115592,0.016800144819039832,0.12668642057068386,0.053998636518293994,0.05051607261908562,0.031020355348557543,0.021483925044013294,0.046822418241003846,0.06625471133967745,0.13237430228744076,0.04761216664992039
4,car,001 knn,004 l1,0.8773148148148148,0.8773148148148148,0.01288914680480957,0,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False
5,car,001 knn,005 relieff selection,0.8564814814814815,0.8564814814814815,0.1216278076171875,0,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,True
6,car,001 knn,012 relieff weighting,0.8564814814814815,0.8564814814814815,0.1216278076171875,0,0.8993821712268314,1.0,0.9841129744042365,0.881729920564872,0.8402471315092674,0.9523389232127096,0.9947043248014121,0.9196822594880847,0.9841129744042365,0.8667255075022066,0.6972639011473963,0.7581641659311562,0.9620476610767873,0.7131509267431597,0.7202118270079435,0.6319505736981466,0.5860547219770521,0.676081200353045,0.9514563106796117,0.999117387466902,0.8490732568402471
7,car,001 knn,006 forward selection,0.6990740740740741,0.6990740740740741,5.515895128250122,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,car,001 knn,007 backward selection,0.8842592592592593,0.8842592592592593,11.198024272918701,0,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,car,001 knn,008 stepwise selection,0.8171296296296297,0.8171296296296295,11.70354962348938,0,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,True,False
10,car,001 knn,009 bayesian selection,0.8819444444444444,0.8819444444444444,41.02881217002869,189,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False
11,car,001 knn,013 bayesian weighting,0.9097222222222222,0.9097222222222222,108.39468550682068,269,0.3374594703101087,0.5828784082569737,0.036974161566121724,0.06486905724855033,0.48083480342159035,0.2001794586150688,0.14906282299173343,0.9540082391600165,0.4133126813606884,0.5830086514008456,0.14814575665000898,0.26615967991851924,0.3748033861291333,0.3565791144900492,0.10233394980324971,0.07808384298637805,0.3705240136905766,0.7144277201332121,0.26386804537688413,0.6901027224616048,0.6064632997008993
