,dataset,base,method,PM1,PM2,Time,TriesToOpt,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
0,machine,001 knn,000 all,25054.543584905663,0.39759311770921946,0.0,0,True,True,True,True,True,True
1,machine,000 rf,000 all,13173.058223647733,0.6832693875324316,0.0,0,True,True,True,True,True,True
2,machine,001 knn,002 intercorrelation,34214.826415094336,0.1773449458782136,0.0165255069732666,0,True,True,False,True,True,True
3,machine,001 knn,010 correlation weighting,21044.309245283017,0.49401446171019026,0.0165255069732666,0,0.31597172008805036,0.8884559808778695,0.8378131345466344,0.6828391535447933,0.6654002605721724,0.3834493957079613
4,machine,001 knn,003 feature importance selection,20001.050188679244,0.5190983924383845,0.1303424835205078,0,False,True,True,True,False,True
5,machine,001 knn,011 feature importance weighting,20887.417547169814,0.4977867371219291,0.1303424835205078,0,0.043206394372248165,0.293337171446853,0.37741069753556017,0.1596357369273247,0.09902484033679078,0.027385159381223167
6,machine,001 knn,004 l1,20887.417547169814,0.4977867371219291,0.004446268081665039,0,True,True,True,True,True,True
7,machine,001 knn,005 relieff selection,12953.440377358493,0.6885498390253983,0.029274940490722656,0,True,False,True,True,False,True
8,machine,001 knn,012 relieff weighting,20388.68452830189,0.5097781829837768,0.029274940490722656,0,1.0,0.30548302872062666,0.30548302872062666,0.4360313315926893,0.0,0.8537859007832899
9,machine,001 knn,006 forward selection,15464.41169811321,0.6281765019605512,2.090996742248535,0,False,False,True,False,True,False
10,machine,001 knn,007 backward selection,13043.512264150944,0.6863841669858814,1.2620680332183838,0,True,False,True,True,True,True
11,machine,001 knn,008 stepwise selection,13518.189245283018,0.6749711201135671,1.3831760883331299,0,False,False,True,True,True,True
12,machine,001 knn,009 bayesian selection,13043.512264150944,0.6863841669858814,28.615124225616455,11,True,False,True,True,True,True
13,machine,001 knn,013 bayesian weighting,12770.531320754715,0.6929476710656439,73.71818900108337,67,0.6288330617593165,0.0002492735070141888,0.51422145734603,0.8286162537649167,0.4455219255943631,0.5082212755606628
