,dataset,base,method,PM1,PM2,Time,TriesToOpt,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
0,bike,001 knn,000 all,955203.8199124672,0.75499878037329,0.0,0,True,True,True,True,True,True,True,True,True,True,True
1,bike,000 rf,000 all,477443.12745826656,0.877540116474424,0.0,0,True,True,True,True,True,True,True,True,True,True,True
2,bike,001 knn,002 intercorrelation,1094716.3535510693,0.7192150657543492,0.021453380584716797,0,True,True,False,True,True,True,True,False,True,True,True
3,bike,001 knn,010 correlation weighting,662543.5534515617,0.8300635160082149,0.021453380584716797,0,0.42123068937556174,0.5474421910248122,0.27822787921631753,0.0545484928444395,0.036514429871671555,0.036141530408334704,0.32255855478258705,0.6299132347557622,0.631627421443749,0.11599816074888346,0.2044855869626757
4,bike,001 knn,003 feature importance selection,748531.4342280577,0.8080083951804024,0.26367712020874023,0,False,True,True,False,True,False,True,False,True,False,True
5,bike,001 knn,011 feature importance weighting,916882.8030467854,0.7648277777806582,0.26367712020874023,0,0.06196266875762334,0.27982221851605743,0.029751412150032127,0.0016201085783993103,0.015180726676444555,0.003476796852683517,0.021358156605132708,0.4107210788129327,0.07384398828291286,0.07599717872619446,0.026265666041586918
6,bike,001 knn,004 l1,916882.8030467854,0.7648277777806582,0.017238378524780273,0,True,True,True,True,True,True,True,True,True,True,True
7,bike,001 knn,005 relieff selection,1941518.7094633337,0.5020178501901484,0.047174692153930664,0,True,False,True,False,True,False,True,True,True,True,True
8,bike,001 knn,012 relieff weighting,1296999.2777356138,0.6673313084852334,0.047174692153930664,0,0.45839416058394156,0.12652068126520677,0.3051094890510949,0.0,0.04817518248175182,0.060340632603406275,0.16155717761557176,0.9902676399026764,1.0,0.9980535279805353,0.9980535279805353
9,bike,001 knn,006 forward selection,859501.5462077514,0.7795455559304201,8.937981843948364,0,True,True,False,False,False,False,True,False,True,False,False
10,bike,001 knn,007 backward selection,1322971.2960939081,0.6606697185278853,5.944742918014526,0,True,True,False,True,False,False,True,True,True,False,False
11,bike,001 knn,008 stepwise selection,1375071.4974195508,0.6473064837904559,3.8010385036468506,0,False,True,True,False,False,False,False,True,True,True,False
12,bike,001 knn,009 bayesian selection,706542.743591041,0.8187781180417917,32.273889780044556,38,True,True,False,False,False,False,True,False,True,True,True
13,bike,001 knn,013 bayesian weighting,637565.81917881,0.836470081008025,82.38412642478943,61,0.31186537068219494,0.25575738167402134,0.36606679065107994,0.30576462557511086,0.36785990251996914,0.17142766589985955,0.8599588939797097,0.02557123126434789,0.14800016668364036,0.5362398669290962,0.9052245626204827
