,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.6481481481481481,0.6481481481481481,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.7962962962962963,0.7962962962962963,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.6111111111111112,0.6111111111111112,0.15268707275390625,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.6111111111111112,0.6111111111111112,0.15268707275390625,0,0.12087285332170848,0.12844612716318995,0.16231307969866346,0.18994374670236122,0.09580946175628564,0.08264348187579547,0.10386046675346472,0.07910395212695918,0.03700683060157178
4,glass,001 knn,004 l1,0.6111111111111112,0.6111111111111112,0.004155874252319336,0,False,True,True,True,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.6851851851851852,0.6851851851851852,0.014192342758178711,0,True,False,True,True,False,True,False,True,True
6,glass,001 knn,012 relieff weighting,0.6296296296296297,0.6296296296296297,0.014192342758178711,0,0.13725490196078427,0.07843137254901966,0.8275862068965517,0.11764705882352944,0.0980392156862745,0.27586206896551724,0.0,0.13793103448275862,1.0
7,glass,001 knn,006 forward selection,0.6296296296296297,0.6296296296296297,3.2073776721954346,0,False,False,False,True,False,True,False,False,False
8,glass,001 knn,007 backward selection,0.6481481481481481,0.6481481481481481,2.862485647201538,0,False,True,True,True,False,True,True,True,True
9,glass,001 knn,008 stepwise selection,0.6111111111111112,0.6111111111111112,3.2084169387817383,0,False,True,True,False,False,True,True,False,False
10,glass,001 knn,009 bayesian selection,0.7037037037037037,0.7037037037037037,30.625994205474854,78,True,True,True,False,True,False,True,True,False
11,glass,001 knn,013 bayesian weighting,0.7592592592592593,0.7592592592592593,78.07471489906311,320,0.0029405702802950346,0.8705009795379917,0.23750367940080946,0.7188238291264081,0.8742107685258423,0.9968053526131674,0.6058122791527311,0.40494559920592155,0.7318427817165922
