,dataset,base,method,PM1,PM2,Time,TriesToOpt,a2,a3,a4,a5,a6,a7,a8,a9,a10
0,glass,001 knn,000 all,0.7037037037037037,0.7037037037037037,0.0,0,True,True,True,True,True,True,True,True,True
1,glass,000 rf,000 all,0.8888888888888888,0.8888888888888888,0.0,0,True,True,True,True,True,True,True,True,True
2,glass,001 knn,003 feature importance selection,0.6481481481481481,0.6481481481481481,0.15375947952270508,0,False,True,False,True,False,True,False,True,False
3,glass,001 knn,011 feature importance weighting,0.6851851851851852,0.6851851851851852,0.15375947952270508,0,0.14090272253687827,0.11299042006457921,0.1683406842016355,0.16216225137915302,0.07311373253030932,0.09094855708176856,0.13294208288589285,0.06780086373742292,0.05079868558236023
4,glass,001 knn,004 l1,0.3888888888888889,0.3888888888888889,0.0038564205169677734,0,False,False,True,False,False,False,False,True,False
5,glass,001 knn,005 relieff selection,0.6666666666666666,0.6666666666666666,0.028348922729492188,0,True,False,True,False,True,True,False,True,True
6,glass,001 knn,012 relieff weighting,0.6111111111111112,0.6111111111111112,0.028348922729492188,0,0.303030303030303,0.030303030303030276,1.0,0.0,0.303030303030303,0.38095238095238093,0.12121212121212122,0.0,0.5952380952380952
7,glass,001 knn,006 forward selection,0.5,0.5,3.1906511783599854,0,True,False,False,False,False,False,False,True,False
8,glass,001 knn,007 backward selection,0.6481481481481481,0.6481481481481481,2.0074896812438965,0,True,True,True,True,True,True,True,True,False
9,glass,001 knn,008 stepwise selection,0.6481481481481481,0.6481481481481481,2.1309592723846436,0,True,False,True,False,False,False,True,False,False
10,glass,001 knn,009 bayesian selection,0.7037037037037037,0.7037037037037037,30.645456790924072,3,True,False,False,True,True,True,True,False,False
11,glass,001 knn,013 bayesian weighting,0.7592592592592593,0.7592592592592593,78.09753513336182,467,0.6604634082598642,0.19684696562589987,0.07275954477784437,0.04566224185321534,0.02868875545196714,0.9365602788948194,0.5366745046434503,0.616271225615389,0.08611570853873307
