,dataset,base,method,PM1,PM2,Time,TriesToOpt,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34
0,ionosphere,001 knn,000 all,0.7727272727272727,0.7727272727272727,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,ionosphere,000 rf,000 all,0.9204545454545454,0.9204545454545455,0.0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,ionosphere,001 knn,003 feature importance selection,0.5909090909090909,0.5909090909090909,0.1670377254486084,0,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True
3,ionosphere,001 knn,011 feature importance weighting,0.7727272727272727,0.7727272727272727,0.1670377254486084,0,0.03194630945021804,0.0,0.07090808119322711,0.04802922109791078,0.17339467582833606,0.02869129384740035,0.12920765745148807,0.04503534881168088,0.008798823260946227,0.014181446147226535,0.0061777064967800345,0.022137885093479505,0.00874101678917282,0.04177268798315915,0.009861271828251923,0.024599374180882268,0.0073802937431729256,0.019075283806663915,0.007229505203701625,0.02478689883360416,0.014848371888649643,0.013747501732888604,0.014803432227140622,0.01866068512647477,0.00825325442404435,0.010221861802767613,0.08031651446199796,0.02522438469801704,0.01060097081020195,0.0057524598590344015,0.027683013074175956,0.010857627831868192,0.020674822695071024,0.01640031832036544
4,ionosphere,001 knn,004 l1,0.875,0.875,0.01333928108215332,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,ionosphere,001 knn,005 relieff selection,0.7840909090909091,0.7840909090909092,0.04893898963928223,0,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True
6,ionosphere,001 knn,012 relieff weighting,0.8068181818181818,0.8068181818181818,0.04893898963928223,0,0.9906103286384976,1.0,0.0995184590690209,0.0,0.1316211878009631,0.038523274478330705,0.1573033707865169,0.035313001605136396,0.0481540930979133,0.019261637239165297,0.012841091492776902,0.009630818619582704,0.0706260032102729,0.019261637239165297,0.0834670947030498,0.038523274478330705,0.051364365971107495,0.0,0.0,0.009630818619582704,0.0417335473515249,0.009630818619582704,0.009630818619582704,0.0481540930979133,0.012841091492776902,0.006420545746388395,0.051364365971107495,0.022471910112359605,0.0,0.0160513643659711,0.0321027287319422,0.0481540930979133,0.0674157303370787,0.0674157303370787
7,ionosphere,001 knn,006 forward selection,0.75,0.75,20.513259887695312,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,ionosphere,001 knn,007 backward selection,0.8181818181818182,0.8181818181818182,12.051890850067139,0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
9,ionosphere,001 knn,008 stepwise selection,0.8181818181818182,0.8181818181818182,8.144713163375854,0,True,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True
10,ionosphere,001 knn,009 bayesian selection,0.8636363636363636,0.8636363636363636,45.04521369934082,1,True,True,True,True,True,False,False,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False
11,ionosphere,001 knn,013 bayesian weighting,0.875,0.875,118.69723701477051,32,0.07899649391872696,0.06321848321226074,0.8224919512494043,0.8132446845068362,0.9342328827291084,0.7905872920904093,0.06732378888055199,0.055735246893177326,0.3178944621746457,0.6901662482691832,0.5209483312260044,0.17394755926529237,0.5766127525428084,0.10296781447162828,0.00256636061079063,0.9098431823300086,0.9150197750906219,0.559178978991749,0.6750914344558367,0.5997510937851764,0.5443540238868383,0.7172665602070355,0.2443072938717639,0.6865862844987105,0.3825180063515127,0.42808152226566926,0.6742395001984688,0.1351935995531398,0.5253319866112323,0.3839492401264649,0.5733131546206016,0.02541993090032263,0.4521778895025717,0.4815291578690347
